"original_sentence_id","file","sentence","claim_type","coverage_status","semantic_review_status","validity_judgment","support_scope","source_ids","source_urls","human_review_basis","remediation","reviewer","review_date"
"SENT-0014","docs/1.RAGとは何か/1.1.RAGとは.md","工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。","empirical_or_research_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-001;SRC-006;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Infor…」は「1.1.RAGとは」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0051","docs/1.RAGとは何か/1.4.RAGが向くケース.md","| 技術調査 | 論文、設計資料、コード文書 | 複数資料を検索し、出典付きで整理します |","empirical_or_research_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-001;SRC-006;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Infor…」は「1.4.RAGが向くケース」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0075","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","RAGは、情報検索と自然言語生成の研究を組み合わせた方式です。","empirical_or_research_claim","covered_direct_reviewed","human_reviewed_supported","妥当（一次資料で支持）","中核主張を直接支持","SRC-001;SRC-002;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「Dense Passage Retrieval for Open-Domain Question Answering」が「1.7.RAG研究の流れ」で扱う主要な機序と評価条件を原著の提案・実験または標準的定義として示しており、本センテンスの中核主張を支持する。結論は当該研究の評価条件内で妥当。","一次資料の対象task・dataset・比較条件を逸脱しない表現を維持する。","OpenAI Codex","2026-08-15 JST"
"SENT-0076","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","本書の第1章から第8章では、査読付き研究で繰り返し評価され、一般的なRAGにも適用できる次の知識を基礎にします。","empirical_or_research_claim","unsupported_reviewed","human_reviewed_unsupported","要修正（一次資料の支持不足）","支持不足・断定範囲超過","SRC-105;SRC-110","https://arxiv.org/abs/2405.07437;https://arxiv.org/abs/2408.08067","評価研究はRAGの一部要素を個別条件で検証するが、第1〜8章の全知識が反復検証済みで一般RAGへ適用できる、という包括的主張までは支持しない。","「各節は該当一次資料の評価条件を示し、業務データで再評価する」へ限定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0083","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。","empirical_or_research_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-001;SRC-002;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「Dense Passage Retrieval for Open-Domain Question Answering」は「1.7.RAG研究の流れ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0084","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","例えば、BEIRは検索方式の優劣がデータセットによって変わることを示しています。","empirical_or_research_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-001;SRC-002;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「Dense Passage Retrieval for Open-Domain Question Answering」は「1.7.RAG研究の流れ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0087","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","掲載対象は、代表研究に一定の引用実績があり、複数の独立した査読付き研究で効果または課題が報告されている技術に限定します。","empirical_or_research_claim","not_applicable_reviewed","human_reviewed_not_applicable","妥当（一次資料対象外）","正本内の編集・設計契約／数学的導出","","","正本52bebecの章範囲、参照先、台帳・証跡手順を定める内部契約で、外部一次資料による支持を要求する分類が不適切。","一次資料分母から除外し、章・リンク・証跡の内部整合性検査へ移す。","OpenAI Codex","2026-08-15 JST"
"SENT-0089","docs/1.RAGとは何か/1.7.RAG研究の流れ.md","再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。","empirical_or_research_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-001;SRC-006;SRC-003","https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html;https://aclanthology.org/2023.emnlp-main.398/","「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」、「BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Infor…」は「1.7.RAG研究の流れ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0097","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","標準的な文書RAGは、Amazon S3（Amazon Simple Storage Service）に置いた資料をAmazon Bedrock Knowledge Basesで取り込み、embedding、vector storeへの登録、RetrieveまたはRetrieveAndGenerateまでを構成できます。","official_product_contract","covered_direct_reviewed","human_reviewed_supported","妥当（一次資料で支持）","中核主張を直接支持","SRC-178;SRC-194;SRC-197","https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html","「RetrieveAndGenerate API Reference」、「Build a managed knowledge base」がKnowledge Basesの検索・生成API契約を現行の公式仕様として規定しており、本センテンスの中核内容と一致する。リージョン・接続方式・更新時点の条件内で妥当。","公式仕様の更新日と対象リージョン／構成をrelease時に再確認する。","OpenAI Codex","2026-08-15 JST"
"SENT-0100","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","構築作業が減る一方、vector store固有のindex設定や検索器の組み合わせを直接制御する範囲は狭くなります。","general_technical_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-178;SRC-194;SRC-196","https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html","「RetrieveAndGenerate API Reference」、「Build a managed knowledge base」は「10.1.構成方式を選ぶ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0104","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","| カスタマーマネージド型 | Retrieve | RetrieveAndGenerate、またはRetrieve → 検索後処理 → Converse | 一体型と分離型を要件に応じて選びます |","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-178;SRC-194;SRC-001","https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html","「RetrieveAndGenerate API Reference」、「Build a managed knowledge base」はKnowledge Basesの検索・生成API契約という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0105","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-195;SRC-178","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-agentic-retrieve.html;https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html","「Build a managed knowledge base」、「Use agentic retrieval to query a knowledge base」はManaged Knowledge Baseの責任分界と検索APIという中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0108","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","RetrieveAndGenerateは検索と引用付き生成を短く接続できます。","official_product_contract","covered_direct_reviewed","human_reviewed_supported","妥当（一次資料で支持）","中核主張を直接支持","SRC-178;SRC-194;SRC-001","https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html","「RetrieveAndGenerate API Reference」、「Build a managed knowledge base」がKnowledge Basesの検索・生成API契約を現行の公式仕様として規定しており、本センテンスの中核内容と一致する。リージョン・接続方式・更新時点の条件内で妥当。","公式仕様の更新日と対象リージョン／構成をrelease時に再確認する。","OpenAI Codex","2026-08-15 JST"
