sentence_id,field,current_value,replacement_value,reason
SENT-0014,verdict_reason,現文は研究報告または引用元への帰属を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。 検証対象として 本ガイドでは工程別の成果物を同じquestion IDへ結び／資料の古さ／検索の取りこぼし／取得済み根拠の誤読を別の失敗段階として診断します を区別し、この文が断定する evidence_support=true;temporal_freshness=true と関係 NOT_APPLICABLE について、資料候補の記録は SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定 ですが、現主張を再特定する直接locatorは未確定です。そこで主体・対象・条件を保った 本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。 へ変更し、未確認の一般化または因果を本文から外すためREWRITE_REQUIREDと判定します。,SENT-0014の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0081,verdict_reason,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,FEVERによる根拠支持・反証・情報不足の評価 この行は 1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ NOT_A_NORMATIVE_CLAIM を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SENT-0081の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0082,verdict_reason,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,ALCEによる引用評価 この行は 1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ NOT_A_NORMATIVE_CLAIM を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SENT-0082の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0083,verdict_reason,現文の内容は外部論文の実験結果ではなく、本ガイドの設計・評価・運用規則またはローカル定義である。単一論文の評価範囲句を外し、観測可能なcriteriaと例外を持つ規範として確定する。,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。 この記述は 本ガイドでは／本節で取り上げた研究結果を／すべてのデータや業務で同じ効果を保証する根拠として扱いません を本ガイドの設計・評価・運用へ適用する規則で、外部研究の効果を一般化する文ではありません。履行を 各研究のデータセット、モデル、比較器、指標、期間を記録し、対象業務との差分が未評価なら効果を一般化しない。 により観測し、適用除外を 対象業務データで同じ指標と比較条件による再現試験を通過した範囲だけは、再現条件を明記して適用できる。 に限定できるため、APPROPRIATE_NORMATIVEと判定します。,SENT-0083の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0089,normative_criteria,「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」で指定した品質・安全性・latency・costの各指標を同一evaluation runから算出し、列挙した指標の欠測がなく、必須条件の論理積で合否を決める。,検証対象は次の条件です: 再現できる失敗に対して比較実験を行い／品質／応答時間／費用／安全性の総合結果で採否を決めます。本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。,SENT-0089の本文対象を明記し、共通テンプレではなく観測可能なnormative_criteriaへ置き換える。
SENT-0089,exceptions,「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」の比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。,例外判断で参照する条件は次のとおりです: 再現できる失敗に対して比較実験を行い／品質／応答時間／費用／安全性の総合結果で採否を決めます。当該規則の比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。,SENT-0089の本文対象を明記し、共通テンプレではなく観測可能なexceptionsへ置き換える。
SENT-0089,verdict_reason,現文は実装、評価、運用上の選択を明示する設計規範である。両案の修正文を再検討し、外的効果の断定ではなく規範として確定した。文中の対象、条件、否定、列挙は修正文に保持した。,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。 この記述は 再現できる失敗に対して比較実験を行い／品質／応答時間／費用／安全性の総合結果で採否を決めます を本ガイドの設計・評価・運用へ適用する規則で、外部研究の効果を一般化する文ではありません。履行を 検証対象は次の条件です: 再現できる失敗に対して比較実験を行い／品質／応答時間／費用／安全性の総合結果で採否を決めます。本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。 により観測し、適用除外を 例外判断で参照する条件は次のとおりです: 再現できる失敗に対して比較実験を行い／品質／応答時間／費用／安全性の総合結果で採否を決めます。当該規則の比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。 に限定できるため、APPROPRIATE_NORMATIVEと判定します。,SENT-0089の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0105,verdict_reason,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません | この行は 10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ empirical_result=true;external_knowledge=true を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SENT-0105の原文、判定境界、根拠または受入検査を明記し、完全一致のgeneric理由を解消する。
SENT-0109,normative_criteria,「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。,検証対象は次の条件です: 重複排除／独自reranking／矛盾処理／Evidence Set／claim単位の検査を入れる場合は／Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。当該規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。,SENT-0109の本文対象を明記し、共通テンプレではなく観測可能なnormative_criteriaへ置き換える。
SENT-0109,exceptions,「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」のservice/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。,例外判断で参照する条件は次のとおりです: 重複排除／独自reranking／矛盾処理／Evidence Set／claim単位の検査を入れる場合は／Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。当該規則のservice/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。,SENT-0109の本文対象を明記し、共通テンプレではなく観測可能なexceptionsへ置き換える。
