sentence_id,baseline_docs_commit,target_docs_commit,file,action_kind,source_text_sha256,target_sentence_ids,target_text_sha256,target_file_sha256,application_status,applied_by,applied_date,notes
SENT-0014,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/1.RAGとは何か/1.1.RAGとは.md,REWRITE_REQUIRED,b76bdb5bbc5ccb488a33c29c2293f13bdceff944a576e9ea7ab30eedddec8a1e,SENT-0014,6803611f30bf91c346b713a9e08d9fddda46daf45cb6542a99e5bd2843b3ba99,e1a665aa6028e1751fa1d5b3027f2d1d5c3fc4e0a32f62d0ec356e8f29f4f8e5,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0081,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,REMOVE_OR_REPLACE,e0796911fd6c1d939a82a5920eb0a2a63ae1140f6487d88c2e2e9536ebd62b09,SENT-0081,e0796911fd6c1d939a82a5920eb0a2a63ae1140f6487d88c2e2e9536ebd62b09,cef0fc6f1e9994e41de2ad50b138b58e8218362a54b15a42c5794fb8e6670dba,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0082,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,REMOVE_OR_REPLACE,c772c8b03b8e04e23b5cac542ed571cf10771c5c99d92cc92c7d9d49d0b4e5b7,SENT-0082,c772c8b03b8e04e23b5cac542ed571cf10771c5c99d92cc92c7d9d49d0b4e5b7,cef0fc6f1e9994e41de2ad50b138b58e8218362a54b15a42c5794fb8e6670dba,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0083,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,APPROPRIATE_NORMATIVE,41ed51a9e579636a1122e06fb161fe3a1f7751425fa0dc321e6112c4ca6b938a,SENT-0083,062e72edef294d40ec2473cdd7ee6f36532d22017b524854cdc99f05ad7f70d5,cef0fc6f1e9994e41de2ad50b138b58e8218362a54b15a42c5794fb8e6670dba,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0089,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,APPROPRIATE_NORMATIVE,d92536c6965dae8bb44bffb9835322dadf59f15d647e7e6a05ab297bd8530c04,SENT-0089,d92536c6965dae8bb44bffb9835322dadf59f15d647e7e6a05ab297bd8530c04,cef0fc6f1e9994e41de2ad50b138b58e8218362a54b15a42c5794fb8e6670dba,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0105,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,REMOVE_OR_REPLACE,f01035310998f774cda7ed3a3f7934f0940f4540373db122adce15ef0b76f2d8,SENT-0115,f01035310998f774cda7ed3a3f7934f0940f4540373db122adce15ef0b76f2d8,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0109,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,c3f1a81f22d8278191f8e5a7b2d26767c83adf1a29aca423894fdaf0869b61fa,SENT-0119,c3f1a81f22d8278191f8e5a7b2d26767c83adf1a29aca423894fdaf0869b61fa,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0110,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,3f28be8932bea2507477d5ae4485dd39206634c962f99c42345eeb0b7601eac8,SENT-0120,81b4572a771dbfdf663220477901c0387fe27544725d5823797e422eade9a5ce,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0113,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,adcda80fcea8ca61baf383bbaeffd7dc1a723f22fad469e06fdee552e48fedac,SENT-0123,adcda80fcea8ca61baf383bbaeffd7dc1a723f22fad469e06fdee552e48fedac,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0114,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,a4b7bff8dcc82a9332498096fa72397e87fc2f5a93f4071e5036480f834cc591,SENT-0124,b2b1a8098b037f02e866ecc34b90ac4c07e0af087b32d98a754d6c6c483f84be,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0116,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,REWRITE_REQUIRED,d8ef6818a3175e319325efffaa286ac49751168123cbb1d419919c710c792f50,SENT-0126;SENT-0127,c8a8d618c9d2316e538057077d0f5437c918f136fcaff6dad1535fbc52a0d92d,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0117,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,d624d3ae158a473eadf39d58b33fe647d48acef4588725685bc7003da1b32570,SENT-0128,b3cffcbcbae5ace9318db8dd8566f12257b5cc70500d4c9d4ae1c7fc1b595fd6,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0118,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,APPROPRIATE_NORMATIVE,93068cf8712f54c442113346900eb04468f058c2f1ecb52c5ec93e25127a1a89,SENT-0129,295889b0534ce8bcfbc85e96af85b52663b0182889392a18267935f2af75db5d,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0123,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,REWRITE_REQUIRED,518110873215eecc61edf981729ca57128ee11d9e1a72304a2e431b86db5071a,SENT-0134,530501317e1df8c895be86d18e690e3308ad087888fca5bfe7d41822a6cb10a6,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
SENT-0124,52bebecfb2a435d0e7ff2efea557c5799674ded6,cfc2572291a2676933b08b7466d1ea1e7e76bebb,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,REWRITE_REQUIRED,04f253ad873ed2eee677390970342868a9daf7c52693a23eace22ef4a6575f69,SENT-0135,a1a3fa9b5a8413b96b58080ecc4c05716c82eb1b3e7f687f5997f26beaa0baf8,d63d9b06e4ee88ae1c7dd97b61461433b2f250e9f18457d18d4809a2650b59ff,APPLIED_VERIFIED,codex-wave4-applier,2026-08-16,Derived from the exact signed candidate and target sentence-evidence snapshot.
