sentence_id,docs_commit,original_sentence,revised_sentence,semantic_proposition,logical_operator,claim_type,modality,scope,primary_source_ids,source_locator,source_claim_role,supported_atoms,unsupported_atoms,unsupported_relation,appropriateness_verdict,verdict_reason,normative_criteria,exceptions,external_truth_level,action,owner,due_date,unblock_condition,lean_theorem,lean_assurance,axiom_audit,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date,review_status,axis_authority,axis_directness,axis_completeness,axis_claim_polarity,axis_scope,axis_modality,axis_pedagogical_validity,axis_formalization_validity
SENT-0014,52bebecfb2a435d0e7ff2efea557c5799674ded6,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できるかを、対象データと固定した比較条件で検証します。,"AND(AND(AND(AND(ATOM(retrieval=true), ATOM(evidence_support=true)), ATOM(temporal_freshness=true)), ATOM(evaluation=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できます,1.1.3 (docs/1.RAGとは何か/1.1.RAGとは.md:27),SRC-001,UNVERIFIED_CANDIDATE_URL_ONLY,EMPIRICAL_RESULT,empirical_result=true;evaluation=true;retrieval=true,evidence_support=true;temporal_freshness=true,,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=未支持atom=evidence_support=true;temporal_freshness=true; 主張極性=EMPIRICAL_RESULTとして再分類; スコープ=PASS_AFTER_TEST_SCOPE_QUALIFICATION; モダリティ=PASS_AFTER_HYPOTHESIS_QUALIFIER; 教材妥当性=PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS; 形式化妥当性=FAIL_UNSUPPORTED_ATOMS:evidence_support=true;temporal_freshness=true。「工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。」は候補資料(SRC-001)に直接locatorがなく、一般的事実としてはFAIL_UNSUPPORTED_ATOMS:evidence_support=true;temporal_freshness=trueが残る。原文の対象と作用を維持したまま、本ガイドの構成または対象データでの検証へスコープを限定すれば教材上の検討事項を保持できる。,,,UNVERIFIED,原文をrevised_sentenceへ置換し、対象データ、比較条件、観測指標、合否閾値を同じ節に追記する。検証後に限り事実表現へ戻し、意味を保存して再形式化する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_UNSUPPORTED_ATOMS:evidence_support=true;temporal_freshness=true,EMPIRICAL_RESULT,PASS_AFTER_TEST_SCOPE_QUALIFICATION,PASS_AFTER_HYPOTHESIS_QUALIFIER,PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS,FAIL_UNSUPPORTED_ATOMS:evidence_support=true;temporal_freshness=true
SENT-0023,52bebecfb2a435d0e7ff2efea557c5799674ded6,RAGは、このような検索器の結果を言語モデルへ渡します。,本ガイドの基本構成では、RAGは、このような検索器の結果を言語モデルへ渡します。,"AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(empirical_result=true))",AND,general_technical_claim,UNCLASSIFIED,1.2.1 (docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md:12),SRC-002,UNVERIFIED_CANDIDATE_URL_ONLY,EMPIRICAL_RESULT,empirical_result=true;retrieval=true,generation=true,,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=未支持atom=generation=true; 主張極性=EMPIRICAL_RESULTとして再分類; スコープ=PASS_AFTER_TEST_SCOPE_QUALIFICATION; モダリティ=PASS_AFTER_HYPOTHESIS_QUALIFIER; 教材妥当性=PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS; 形式化妥当性=FAIL_UNSUPPORTED_ATOMS:generation=true。「RAGは、このような検索器の結果を言語モデルへ渡します。」は候補資料(SRC-002)に直接locatorがなく、一般的事実としてはFAIL_UNSUPPORTED_ATOMS:generation=trueが残る。原文の対象と作用を維持したまま、本ガイドの構成または対象データでの検証へスコープを限定すれば教材上の検討事項を保持できる。,,,UNVERIFIED,原文をrevised_sentenceへ置換し、対象データ、比較条件、観測指標、合否閾値を同じ節に追記する。検証後に限り事実表現へ戻し、意味を保存して再形式化する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_UNSUPPORTED_ATOMS:generation=true,EMPIRICAL_RESULT,PASS_AFTER_TEST_SCOPE_QUALIFICATION,PASS_AFTER_HYPOTHESIS_QUALIFIER,PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS,FAIL_UNSUPPORTED_ATOMS:generation=true
SENT-0037,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,必要,1.3.3 (docs/1.RAGとは何か/1.3.RAGが解決する問題.md:19),SRC-003,"Gao et al. (2023), PDF §3.3 Citation Quality, pp.6468-6469; citation recall/precision definitions and Figure 3",DEFINITION_OR_SPEC,citation=true;evaluation=true,,,APPROPRIATE_SUPPORTED,権威性=PASS_PEER_REVIEWED_PRIMARY; 直接性=PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR; 網羅性=原文の主体・対象・関係を当該箇所が支持; 主張極性=DEFINITION_OR_SPEC; スコープ=当該benchmark/datasetに限定; モダリティ=資料より強くない; 教材妥当性=研究一覧または評価定義として有用; 形式化妥当性=再生成でprojectionを更新可能。査読付き原論文PDFの§3.3は、citation recallを出力が引用箇所で完全に支持されるか、citation precisionを無関係な引用がないかとして別々に定義している。原文の『網羅性』と『正しさ』はこの二軸に対応し、対象をALCEの引用品質評価に限定している。,,,SOURCE_ASSERTED,本文は維持する。source_locatorとDEFINITION_OR_SPECの極性を台帳へ反映し、当該文の意味命題と関係根拠をsentence projectionへ反映してLean台帳を再生成する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PASS_PEER_REVIEWED_PRIMARY,PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR,PASS_ALL_CLAIM_COMPONENTS,DEFINITION_OR_SPEC,PASS_BENCHMARK_OR_DATASET_SCOPE,PASS_SOURCE_ALIGNED,PASS_PRIMARY_SOURCE_DIRECTLY_CHECKED,PASS_AFTER_PROJECTION_REGENERATION
SENT-0081,52bebecfb2a435d0e7ff2efea557c5799674ded6,FEVERによる根拠支持・反証・情報不足の評価,,"AND(ATOM(evidence_support=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12),SRC-007,"Thorne et al. (2018), ACL Anthology N18-1074, Abstract, first paragraph; Supported/Refuted/NotEnoughInfo labels",DEFINITION_OR_SPEC,evidence_support=true;evaluation=true,,,APPROPRIATE_SUPPORTED,権威性=PASS_PEER_REVIEWED_PRIMARY; 直接性=PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR; 網羅性=原文の主体・対象・関係を当該箇所が支持; 主張極性=DEFINITION_OR_SPEC; スコープ=当該benchmark/datasetに限定; モダリティ=資料より強くない; 教材妥当性=研究一覧または評価定義として有用; 形式化妥当性=再生成でprojectionを更新可能。査読付き原論文のAbstractは、FEVERのclaimをSupported、Refuted、NotEnoughInfoに分類すると明記している。原文は研究一覧の短い項目であり、三分類の極性と範囲を過剰に一般化していない。,,,SOURCE_ASSERTED,本文は維持する。source_locatorとDEFINITION_OR_SPECの極性を台帳へ反映し、当該文の意味命題と関係根拠をsentence projectionへ反映してLean台帳を再生成する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PASS_PEER_REVIEWED_PRIMARY,PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR,PASS_ALL_CLAIM_COMPONENTS,DEFINITION_OR_SPEC,PASS_BENCHMARK_OR_DATASET_SCOPE,PASS_SOURCE_ALIGNED,PASS_PRIMARY_SOURCE_DIRECTLY_CHECKED,PASS_AFTER_PROJECTION_REGENERATION
SENT-0082,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEによる引用評価,,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13),SRC-003,"Gao et al. (2023), ACL Anthology 2023.emnlp-main.398, Abstract, first paragraph; ALCE benchmark definition",DEFINITION_OR_SPEC,citation=true;evaluation=true,,,APPROPRIATE_SUPPORTED,権威性=PASS_PEER_REVIEWED_PRIMARY; 直接性=PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR; 網羅性=原文の主体・対象・関係を当該箇所が支持; 主張極性=DEFINITION_OR_SPEC; スコープ=当該benchmark/datasetに限定; モダリティ=資料より強くない; 教材妥当性=研究一覧または評価定義として有用; 形式化妥当性=再生成でprojectionを更新可能。査読付き原論文のAbstractはALCEをAutomatic LLMs' Citation Evaluationのbenchmarkとして提案している。原文は研究一覧での引用評価という役割だけを述べ、実験効果や一般性能を追加していない。,,,SOURCE_ASSERTED,本文は維持する。source_locatorとDEFINITION_OR_SPECの極性を台帳へ反映し、当該文の意味命題と関係根拠をsentence projectionへ反映してLean台帳を再生成する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PASS_PEER_REVIEWED_PRIMARY,PASS_DIRECT_SECTION_OR_ABSTRACT_LOCATOR,PASS_ALL_CLAIM_COMPONENTS,DEFINITION_OR_SPEC,PASS_BENCHMARK_OR_DATASET_SCOPE,PASS_SOURCE_ALIGNED,PASS_PRIMARY_SOURCE_DIRECTLY_CHECKED,PASS_AFTER_PROJECTION_REGENERATION
SENT-0083,52bebecfb2a435d0e7ff2efea557c5799674ded6,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,これらの研究も、すべてのデータや業務で同じ効果を保証しない前提で、対象データごとに効果を再評価します。,UNFORMALIZED,UNFORMALIZED,empirical_or_research_claim,すべて;ません,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15),SRC-001;SRC-002;SRC-003;SRC-004;SRC-005,UNVERIFIED_CANDIDATE_URL_ONLY,LIMITATION,,,,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=未支持atom=none-explicit; 主張極性=LIMITATIONとして再分類; スコープ=PASS_AFTER_TEST_SCOPE_QUALIFICATION; モダリティ=PASS_AFTER_HYPOTHESIS_QUALIFIER; 教材妥当性=PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS; 形式化妥当性=FAIL_UNFORMALIZED。「これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。」は候補資料(SRC-001;SRC-002;SRC-003;SRC-004;SRC-005)に直接locatorがなく、一般的事実としてはFAIL_UNFORMALIZEDが残る。原文の対象と作用を維持したまま、本ガイドの構成または対象データでの検証へスコープを限定すれば教材上の検討事項を保持できる。,,,UNVERIFIED,原文をrevised_sentenceへ置換し、対象データ、比較条件、観測指標、合否閾値を同じ節に追記する。検証後に限り事実表現へ戻し、意味を保存して再形式化する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_UNFORMALIZED,LIMITATION,PASS_AFTER_TEST_SCOPE_QUALIFICATION,PASS_AFTER_HYPOTHESIS_QUALIFIER,PASS_AS_EXPLICIT_TESTABLE_HYPOTHESIS,FAIL_UNFORMALIZED
SENT-0089,52bebecfb2a435d0e7ff2efea557c5799674ded6,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,"AND(AND(AND(AND(ATOM(temporal_freshness=true), ATOM(ab_testing=true)), ATOM(latency=true)), ATOM(cost=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できる,1.7.2 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25),SRC-001;SRC-002;SRC-043,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,empirical_result=true,ab_testing=true;cost=true;latency=true;temporal_freshness=true,,APPROPRIATE_NORMATIVE,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=未支持atom=ab_testing=true;cost=true;latency=true;temporal_freshness=true; 主張極性=HYPOTHESISとして再分類; スコープ=PASS_LOCAL_DESIGN_POLICY; モダリティ=PASS_AS_DISCLOSED_NORMATIVE_RULE; 教材妥当性=PASS_AFTER_EXPLICIT_CRITERIA_AND_EXCEPTION; 形式化妥当性=FAIL_UNSUPPORTED_ATOMS:ab_testing=true;cost=true;latency=true;temporal_freshness=true。「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」は外的真偽の断定ではなく、対象・処理・判断を特定した設計・運用上の選択規則として読める。ただし候補資料(SRC-001;SRC-002;SRC-043)はURL単位で、直接locatorは未確認。規範の判断基準と例外を明示すれば教材として採用できる。形式面ではFAIL_UNSUPPORTED_ATOMS:ab_testing=true;cost=true;latency=true;temporal_freshness=trueを別途解消する必要がある。,対象要件、適用条件、観測可能な受入基準、担当、失敗時の処理を明示すること,適用条件を満たさない場合は単純な経路または回答保留へ戻し、例外理由と期限を記録する,NOT_APPLICABLE,本文は維持し、節内に判断基準「対象要件、適用条件、観測可能な受入基準、担当、失敗時の処理を明示すること」と例外「適用条件を満たさない場合は単純な経路または回答保留へ戻し、例外理由と期限を記録する」を明記する。経験的な効果保証とは分離し、意味を保存して再形式化する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_UNSUPPORTED_ATOMS:ab_testing=true;cost=true;latency=true;temporal_freshness=true,HYPOTHESIS,PASS_LOCAL_DESIGN_POLICY,PASS_AS_DISCLOSED_NORMATIVE_RULE,PASS_AFTER_EXPLICIT_CRITERIA_AND_EXCEPTION,FAIL_UNSUPPORTED_ATOMS:ab_testing=true;cost=true;latency=true;temporal_freshness=true
SENT-0105,52bebecfb2a435d0e7ff2efea557c5799674ded6,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,「Managed Knowledge Base」では「RetrieveまたはAgenticRetrieveStream」を対象とし、確認項目は「RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します」「RetrieveAndGenerateは利用しません」です。,"NOT(AND(AND(AND(AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(external_knowledge=true)), ATOM(bedrock_kb=true)), ATOM(retrieve_and_generate=true)), ATOM(empirical_result=true)))",NOT,official_product_contract,ません,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14),SRC-178,UNVERIFIED_CANDIDATE_URL_ONLY,DEFINITION_OR_SPEC,bedrock_kb=true;generation=true;retrieval=true;retrieve_and_generate=true,empirical_result=true;external_knowledge=true,NOT,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=関係NOT自体の根拠未確認; 主張極性=DEFINITION_OR_SPECとして再分類; スコープ=FAIL_NOT_A_PROPOSITION; モダリティ=NOT_APPLICABLE_FRAGMENT; 教材妥当性=PASS_AS_STRUCTURE_NOT_AS_CLAIM; 形式化妥当性=FAIL_RELATION_NOT。見出し・表セル・用語リンクの断片であり、独立した外部主張として判定できない。証拠必須文として扱う分類が教材構造と一致せず、形式化の主語・述語も欠ける。,,,NOT_APPLICABLE,原文をrevised_sentenceの完全な説明文へ置換し、sentence evidence分類をexpository_or_structural/evidence_required=noへ修正して未証明文キューから除外する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_RELATION_NOT,DEFINITION_OR_SPEC,FAIL_NOT_A_PROPOSITION,NOT_APPLICABLE_FRAGMENT,PASS_AS_STRUCTURE_NOT_AS_CLAIM,FAIL_RELATION_NOT
SENT-0109,52bebecfb2a435d0e7ff2efea557c5799674ded6,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,利用時点の対象リージョンで各サービス間の契約を確認し、構成経路を「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます」とします。,"IMP(AND(AND(ATOM(rerank=true), ATOM(dedup=true)), ATOM(evidence_support=true)), ATOM(retrieval=true))",IMPLIES,official_product_contract,UNCLASSIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18),SRC-178,UNVERIFIED_CANDIDATE_URL_ONLY,DEFINITION_OR_SPEC,retrieval=true,dedup=true;evidence_support=true;rerank=true,IMPLIES,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=関係IMPLIES自体の根拠未確認; 主張極性=DEFINITION_OR_SPECとして再分類; スコープ=PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_SCOPE; モダリティ=PASS_AFTER_CONDITIONAL_OR_REPRODUCTION_WORDING; 教材妥当性=PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_QUALIFIER; 形式化妥当性=FAIL_RELATION_IMPLIES。「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 →」の候補資料(SRC-178)はURL単位で、節・ページ・表・API見出しを独立に確認できていない。現文のFAIL_RELATION_IMPLIES、版・実験条件、資料内極性を断定せず、具体的な製品前提・ローカル定義・再現試験へ限定すれば教材内容を保持できる。,,,UNVERIFIED,原文をrevised_sentenceの具体文へ置換する。製品文は利用時点のregion/versionを受入条件へ追加し、研究文は同じ指標・比較条件で再現確認する。事実表現へ戻す場合は直接locatorを再監査する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_RELATION_IMPLIES,DEFINITION_OR_SPEC,PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_SCOPE,PASS_AFTER_CONDITIONAL_OR_REPRODUCTION_WORDING,PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_QUALIFIER,FAIL_RELATION_IMPLIES
SENT-0110,52bebecfb2a435d0e7ff2efea557c5799674ded6,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,"AND(AND(AND(ATOM(retrieval=true), ATOM(external_knowledge=true)), ATOM(evidence_support=true)), ATOM(bedrock_kb=true))",AND,official_product_contract,必要;できる,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18),SRC-178,UNVERIFIED_CANDIDATE_URL_ONLY,DEFINITION_OR_SPEC,bedrock_kb=true;retrieval=true,evidence_support=true;external_knowledge=true,,REWRITE_REQUIRED,権威性=候補一次資料のみ; 直接性=locator未確認; 網羅性=未支持atom=evidence_support=true;external_knowledge=true; 主張極性=DEFINITION_OR_SPECとして再分類; スコープ=PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_SCOPE; モダリティ=PASS_AFTER_CONDITIONAL_OR_REPRODUCTION_WORDING; 教材妥当性=PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_QUALIFIER; 形式化妥当性=FAIL_UNSUPPORTED_ATOMS:evidence_support=true;external_knowledge=true。「分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行いま」の候補資料(SRC-178)はURL単位で、節・ページ・表・API見出しを独立に確認できていない。現文のFAIL_UNSUPPORTED_ATOMS:evidence_support=true;external_knowledge=true、版・実験条件、資料内極性を断定せず、具体的な製品前提・ローカル定義・再現試験へ限定すれば教材内容を保持できる。,,,UNVERIFIED,原文をrevised_sentenceの具体文へ置換する。製品文は利用時点のregion/versionを受入条件へ追加し、研究文は同じ指標・比較条件で再現確認する。事実表現へ戻す場合は直接locatorを再監査する。,,,,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,codex-independent-wave4,2026-08-15,INDEPENDENT_REVIEW_COMPLETE,PARTIAL_CANDIDATE_SOURCE_ONLY,FAIL_NO_DIRECT_LOCATOR,FAIL_UNSUPPORTED_ATOMS:evidence_support=true;external_knowledge=true,DEFINITION_OR_SPEC,PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_SCOPE,PASS_AFTER_CONDITIONAL_OR_REPRODUCTION_WORDING,PASS_AFTER_CONCRETE_VERSION_OR_EXPERIMENT_QUALIFIER,FAIL_UNSUPPORTED_ATOMS:evidence_support=true;external_knowledge=true
