sentence_id,field,current_value,replacement_value,reason
SENT-0110,verdict_reason,SENT-0110は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,重複排除、rerank、矛盾処理、Evidence Set化、claim検査のうちKnowledge Bases設定へ対応付けられない処理があれば、RetrieveとConverseの間へ独自処理を置く設計判断です。全処理を同じ意味と証跡で設定だけに実装できた場合に限って一体構成を認めるため、分離条件と例外を統合試験で判定できるAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0114,verdict_reason,SENT-0114は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,OpenSearch Serverlessを三検索modeの候補へ残す条件は、同じindexとqueryでdense、sparse、hybridを実行し、filter、top-k、score、timeoutを記録できることです。一つでも対象regionで動作しないmodeは構成から外して残る経路を再評価するので、製品一般の提供機能ではなくsmoke testに基づくAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0118,verdict_reason,SENT-0118は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,MongoDB Atlasはsemanticとhybridの両APIが固定したregion、cluster version、schema、filter fieldでgold queryを返したときだけ候補storeになります。hybridが非対応または回帰した場合はsemantic単独へ縮退し、語彙一致を別retrieverへ分ける構成契約として検査できるため、APPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0136,verdict_reason,SENT-0136は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,embedding modelとregionの対応を製品知識として断定せず、model ID、revision、dimension、接続方式をdeployment manifestへ固定してindex作成とqueryを成功させる規則へ置き換えています。非対応または変更時には既存indexへ混在させず再構築する条件もあるため、実行結果で採否を決めるAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0141,verdict_reason,SENT-0141は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,Titan Text Embeddings V2のdimensionはindex単位で一値に固定し、vector index、document embedding、query embeddingの完全一致を受入条件にします。model contractが別dimensionを要求したときは新indexで互換性を試すため、列挙値を無条件の外部仕様とせず構成整合を保証するAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0150,verdict_reason,SENT-0150は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,1024次元float vector、normalization、cosine metricを同じmanifestへ登録し、document vectorとquery vectorの整合を検査する初期構成です。dimensionまたはmetricを変える比較は別indexとgold queryによる再測定へ分離しており、baselineの成立条件を観測できるのでAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0164,verdict_reason,SENT-0164は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,chunking方式はdata sourceごとに方式名、parameter、parser、再同期条件を保存し、同じ文書からchunk生成を再現できることを要求します。利用時点で非対応の方式は候補から外し、独自chunkはno chunking経路として別試験するため、選択肢を固定仕様と誤認させないAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0185,verdict_reason,SENT-0185は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,filterable text fieldを使うstoreは候補表でregion、engine version、field mapping、operator、hybrid modeを分け、採用する候補だけにfilter queryの成功を要求します。field要件を満たさないstoreを別retrieverへ切り替える停止条件が明確なので、候補列挙を製品保証にしないAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0213,verdict_reason,SENT-0213は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,filter ASTにstartsWithがあるqueryをOpenSearch Serverlessへrouteし、期待集合を返す統合試験を通すという局所operator契約です。対象versionで使えなければ暗黙のexact match変換をせずunsupportedとして代替queryを選ぶため、対応範囲を実行時に閉じるAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
SENT-0224,verdict_reason,SENT-0224は直接locatorが未確定の製品contractまたは構成labelであるため、外的支持を主張せず、実装時に観測できる条件と例外を備えたローカル規範へ確定する。,RetrieveAndGenerateへのroutingはKnowledge Base種別をmanifestで判定し、customer-managedだけがendpointへ到達することを試験します。contract変更だけではrouteを拡張せず、種別ごとのsecurityとcitation回帰後に更新するので、一体経路と分離経路の境界を保つAPPROPRIATE_NORMATIVEです。,sentence IDで共通文面を擬似一意化せず、当該行の受入挙動または未支持atom・関係に基づく理由へ置換する。
