fixture_id,sentence_id,source_state,claim_type,logical_operator,risk_flags,calibration_status,agreed_verdict,disagreement_reason,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date
GOLD-01,SENT-0197,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,concrete_technology_claim,NOT,NUMERIC_OR_PERFORMANCE;RELATION,CALIBRATED,APPROPRIATE_AFTER_QUALIFICATION,独立案はS3 Vectors単体でBM25/sparse非提供まで支持されたとしたが、公式に直接確認できる否定はBedrock Knowledge Bases統合のhybrid search非対応である。主案の限定文を採用。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-02,SENT-1647,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,empirical_or_research_claim,NOT,NUMERIC_OR_PERFORMANCE;RELATION,CALIBRATED,REWRITE_REQUIRED,両案ともREWRITE_REQUIREDで一致したが、候補論文名を付すだけの主案とローカル構成へ転換する独立案はいずれも未支持の不報告断定を解消しない。評価範囲と追加測定を分離する文固有の修正文へ調停。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-03,SENT-2843,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,empirical_or_research_claim,NOT,NUMERIC_OR_PERFORMANCE;STRONG_MODALITY;RELATION,CALIBRATED,REWRITE_REQUIRED,両案の一般的なスコープ追記では判断規則が曖昧なため、単一平均だけに依存しないという教材価値を、業務データ区分で確認する明示的な評価規則へ変える。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-04,SENT-3829,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,empirical_or_research_claim,NOT,RELATION,CALIBRATED,REWRITE_REQUIRED,独立案はローカル規範として扱ったが、原文前半の『複数研究で報告』は外部事実であり未確認。外部研究への包括的な訴求を除き、router採否を対象業務で比較する規則へ書き換える。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-05,SENT-2228,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,externally_cited_claim,NOT,RELATION,CALIBRATED,APPROPRIATE_SUPPORTED,両案は直接locator未確認としてREWRITE_REQUIREDだったが、RAGTruth Abstractがretrieved contentsに対するunsupported/contradictory claimsと、手動注釈されたcorpusを直接記述するため支持へ更新。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-06,SENT-0777,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,general_technical_claim,IMPLIES,RELATION,CALIBRATED,APPROPRIATE_NORMATIVE,文は外部資料の経験的結果ではなく、本ガイドの取り込み基盤が保持すべき追跡可能性の要件である。再解析時に変更ブロックから派生物へ追跡できることを受入基準とし、手動運用は例外として記録する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-07,SENT-1651,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,general_technical_claim,NOT,RELATION,CALIBRATED,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。『ハイブリッド検索は加算ではない』は一般には偽になり得るため、本ガイドが採用する候補統合方式と禁止事項へ限定する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-08,SENT-2878,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,general_technical_claim,NOT,RELATION,CALIBRATED,APPROPRIATE_NORMATIVE,列挙は研究結果ではなく、本ガイドで用いる障害分析taxonomyである。各失敗を少なくとも一つの原因へ割り当て、複合原因と未分類を例外として許す基準で規範扱いとする。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-09,SENT-1036,INCONCLUSIVE_UNFORMALIZED_SENTENCE,concrete_technology_claim,UNFORMALIZED,NUMERIC_OR_PERFORMANCE,CALIBRATED,APPROPRIATE_SUPPORTED,両案がSUPPORTEDで一致し、DPR §3.2と§5.2でin-batch negativesおよびBM25 hard negativesを再確認した。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-10,SENT-1157,INCONCLUSIVE_UNFORMALIZED_SENTENCE,general_technical_claim,UNFORMALIZED,NUMERIC_OR_PERFORMANCE;RELATION,CALIBRATED,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致したが、元の可能性主張に対する条件が不明。GPUの採否を対象データでのCPU比較へ落とす具体的な検証文にする。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-11,SENT-1689,INCONCLUSIVE_UNFORMALIZED_SENTENCE,concrete_technology_claim,UNFORMALIZED,,CALIBRATED,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。外部一般知識として断定せず、本節で扱う正規化の操作的分類へ書き換える。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-12,SENT-2923,INCONCLUSIVE_UNFORMALIZED_SENTENCE,externally_cited_claim,UNFORMALIZED,RELATION,CALIBRATED,APPROPRIATE_SUPPORTED,両案がSUPPORTEDで一致し、Lost in the Middle Abstractの位置効果を再確認した。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-13,SENT-1330,INCONCLUSIVE_UNFORMALIZED_SENTENCE,empirical_or_research_claim,UNFORMALIZED,,CALIBRATED,APPROPRIATE_NORMATIVE,両案とも、利用者明示条件とモデル推定条件を区別する本ガイドの運用規則として妥当と判断した。推定値にはprovenanceを付け、利用者が上書きした場合を例外として記録する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-14,SENT-0817,INCONCLUSIVE_UNFORMALIZED_SENTENCE,general_technical_claim,UNFORMALIZED,,CALIBRATED,APPROPRIATE_NORMATIVE,両案とも、文書形式・チャンク保持関係・失敗試験を対応づけるローカル試験手順として妥当と判断した。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-15,SENT-1212,INCONCLUSIVE_UNFORMALIZED_SENTENCE,general_technical_claim,UNFORMALIZED,RELATION,CALIBRATED,APPROPRIATE_NORMATIVE,両案とも、候補統合を採用したときに検索器と統合規則を同一versionで追跡するローカル構成管理規則として妥当と判断した。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-16,SENT-2792,INCONCLUSIVE_UNFORMALIZED_SENTENCE,general_technical_claim,UNFORMALIZED,RELATION,CALIBRATED,APPROPRIATE_NORMATIVE,両案とも、embedding modelまたは入力形式変更時の再埋め込み方針として妥当と判断した。互換性を実証したmigrationのみ例外とする。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-17,SENT-0123,INCONCLUSIVE_UNSUPPORTED_ATOMS,concrete_technology_claim,OR,NUMERIC_OR_PERFORMANCE;OFFICIAL_PRODUCT,CALIBRATED,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。AWS公式に確認できるBedrock KB + S3 Vectorsのhybrid非対応と、本ガイド独自の別系統検索・統合案を分離して記述する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-18,SENT-0688,INCONCLUSIVE_UNSUPPORTED_ATOMS,externally_cited_claim,ATOM,NUMERIC_OR_PERFORMANCE,CALIBRATED,APPROPRIATE_SUPPORTED,両案は直接locator未確認としてREWRITE_REQUIREDだったが、LayoutLMv3 Abstractがunified text/image maskingと複数のtext-centric/image-centric document tasksでの評価を直接記述する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
