sentence_id,unit_id,file,line_start,sentence,current_logical_status,claim_type,logical_operator,guide_formula,guide_atoms,candidate_source_ids,candidate_source_urls,source_mapping_basis,source_projection_adequacy,unsupported_atoms,risk_flags,review_priority,required_review
SENT-0014,1.1.3,docs/1.RAGとは何か/1.1.RAGとは.md,27,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,INCONCLUSIVE_UNSUPPORTED_ATOMS,empirical_or_research_claim,AND,"AND(AND(AND(AND(ATOM(retrieval=true), ATOM(evidence_support=true)), ATOM(temporal_freshness=true)), ATOM(evaluation=true)), ATOM(empirical_result=true))",empirical_result=true;evaluation=true;evidence_support=true;retrieval=true;temporal_freshness=true,SRC-001,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,same_file_candidate,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,evidence_support=true;temporal_freshness=true,,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0023,1.2.1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,12,RAGは、このような検索器の結果を言語モデルへ渡します。,INCONCLUSIVE_UNSUPPORTED_ATOMS,general_technical_claim,AND,"AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(empirical_result=true))",empirical_result=true;generation=true;retrieval=true,SRC-002,https://aclanthology.org/2020.emnlp-main.550/,existing_direct_paragraph_or_technology_mapping,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,generation=true,,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0037,1.3.3,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,19,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,INCONCLUSIVE_UNSUPPORTED_ATOMS,externally_cited_claim,AND,"AND(ATOM(citation=true), ATOM(evaluation=true))",citation=true;evaluation=true,SRC-003,https://aclanthology.org/2023.emnlp-main.398/,existing_direct_paragraph_or_technology_mapping,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,evaluation=true,,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0081,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,12,FEVERによる根拠支持・反証・情報不足の評価,INCONCLUSIVE_UNSUPPORTED_ATOMS,externally_cited_claim,AND,"AND(ATOM(evidence_support=true), ATOM(evaluation=true))",evaluation=true;evidence_support=true,SRC-007,https://aclanthology.org/N18-1074/,existing_direct_paragraph_or_technology_mapping,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,evaluation=true,,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0082,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,13,ALCEによる引用評価,INCONCLUSIVE_UNSUPPORTED_ATOMS,externally_cited_claim,AND,"AND(ATOM(citation=true), ATOM(evaluation=true))",citation=true;evaluation=true,SRC-003,https://aclanthology.org/2023.emnlp-main.398/,existing_direct_paragraph_or_technology_mapping,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,evaluation=true,,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0083,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,15,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,INCONCLUSIVE_UNFORMALIZED_SENTENCE,empirical_or_research_claim,UNFORMALIZED,UNFORMALIZED,,SRC-001;SRC-002;SRC-003;SRC-004;SRC-005,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://aclanthology.org/2023.emnlp-main.398/;https://aclanthology.org/P18-2124/;https://doi.org/10.1561/1500000019,same_chapter_candidate,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,,RELATION,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0089,1.7.2,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,25,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,INCONCLUSIVE_UNSUPPORTED_ATOMS,empirical_or_research_claim,AND,"AND(AND(AND(AND(ATOM(temporal_freshness=true), ATOM(ab_testing=true)), ATOM(latency=true)), ATOM(cost=true)), ATOM(empirical_result=true))",ab_testing=true;cost=true;empirical_result=true;latency=true;temporal_freshness=true,SRC-001;SRC-002;SRC-043,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://arxiv.org/abs/2004.04906,same_file_candidate,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,ab_testing=true;cost=true;latency=true;temporal_freshness=true,,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY
SENT-0105,10.1.1,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,14,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,official_product_contract,NOT,"NOT(AND(AND(AND(AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(external_knowledge=true)), ATOM(bedrock_kb=true)), ATOM(retrieve_and_generate=true)), ATOM(empirical_result=true)))",bedrock_kb=true;empirical_result=true;external_knowledge=true;generation=true;retrieval=true;retrieve_and_generate=true,SRC-178,https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html,same_unit_candidate,CURATED_OFFICIAL_SPEC_PROJECTION,empirical_result=true;external_knowledge=true,RELATION,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;RELATION
SENT-0109,10.1.1,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,18,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,official_product_contract,IMPLIES,"IMP(AND(AND(ATOM(rerank=true), ATOM(dedup=true)), ATOM(evidence_support=true)), ATOM(retrieval=true))",dedup=true;evidence_support=true;rerank=true;retrieval=true,SRC-178,https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html,same_unit_candidate,CURATED_OFFICIAL_SPEC_PROJECTION,dedup=true;evidence_support=true;rerank=true,RELATION,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;RELATION
SENT-0110,10.1.1,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,18,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,INCONCLUSIVE_UNSUPPORTED_ATOMS,official_product_contract,AND,"AND(AND(AND(ATOM(retrieval=true), ATOM(external_knowledge=true)), ATOM(evidence_support=true)), ATOM(bedrock_kb=true))",bedrock_kb=true;evidence_support=true;external_knowledge=true;retrieval=true,SRC-178,https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html,same_unit_candidate,CURATED_OFFICIAL_SPEC_PROJECTION,evidence_support=true;external_knowledge=true,NUMERIC_OR_PERFORMANCE,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN
SENT-0113,10.1.2,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,24,疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。,INCONCLUSIVE_UNSUPPORTED_ATOMS,general_technical_claim,AND,"AND(AND(ATOM(sparse=true), ATOM(retrieval=true)), ATOM(empirical_result=true))",empirical_result=true;retrieval=true;sparse=true,SRC-179,https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html,same_unit_candidate,CURATED_OFFICIAL_SPEC_PROJECTION,empirical_result=true;sparse=true,,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN
