fixture_id,sentence_id,source_state,original_sentence,primary_verdict,independent_verdict,agreement_status,agreed_verdict,disagreement_reason,agreed_revised_sentence,agreed_source_locator,agreed_source_claim_role,agreed_external_truth_level,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date
GOLD-01,SENT-0197,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,S3 Vectorsはdense vectorによるsemantic searchとmetadata filterを提供し、BM25などのsparse searchは提供しません。,APPROPRIATE_AFTER_QUALIFICATION,APPROPRIATE_SUPPORTED,DISAGREED_RECONCILED_TO_PRIMARY,APPROPRIATE_AFTER_QUALIFICATION,独立案はS3 Vectors単体でBM25/sparse非提供まで支持されたとしたが、公式に直接確認できる否定はBedrock Knowledge Bases統合のhybrid search非対応である。主案の限定文を採用。,Bedrock Knowledge BasesでS3 Vectorsを使う構成はsemantic searchとmetadata filterに対応し、hybrid searchには対応しません。,"https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html, “Limitations” > “Semantic search only”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-query.html, “Querying vectors”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-metadata-filtering.html, “Metadata filtering”",DEFINITION_OR_SPEC,OFFICIAL_SPEC,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-02,SENT-1647,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,ただし、評価は一つの古い文書集合と121件の質問に限られ、処理時間や保存容量も報告されていません。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案ともREWRITE_REQUIREDで一致したが、候補論文名を付すだけの主案とローカル構成へ転換する独立案はいずれも未支持の不報告断定を解消しない。評価範囲と追加測定を分離する文固有の修正文へ調停。,この論文の評価結果を適用できる範囲は、論文が用いたTREC文書集合と質問集合です。処理時間と保存容量は、この結果から推定せず、対象環境で別途測定します。,"https://arxiv.org/abs/2010.01195, Abstract, lines 16–18 (public TREC collection; empirical study); 121 questions and non-reporting claims require paper-level locator before restoration",EMPIRICAL_RESULT,UNVERIFIED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-03,SENT-2843,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,単一のベンチマークや全体平均だけで、業務に対する一般化性能を判断できません。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案の一般的なスコープ追記では判断規則が曖昧なため、単一平均だけに依存しないという教材価値を、業務データ区分で確認する明示的な評価規則へ変える。,業務への一般化性能は、単一ベンチマークの全体平均だけで決めず、対象業務データの主要区分ごとの結果も確認して判定します。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-04,SENT-3829,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,本節は「知識源またはretrieverを質問ごとに選び、結果を統合する」という方式群の効果と課題が複数研究で報告されていることを根拠にし、特定のrouterや構成がすべての業務で優れるとはみなしません。,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,DISAGREED_RECONCILED_MODIFIED,REWRITE_REQUIRED,独立案はローカル規範として扱ったが、原文前半の『複数研究で報告』は外部事実であり未確認。外部研究への包括的な訴求を除き、router採否を対象業務で比較する規則へ書き換える。,知識源またはretrieverを質問ごとに選択して結果を統合する方式を候補としますが、採否は対象業務データで固定構成と比較して決めます。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-05,SENT-2228,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,RAGTruthは、取得した入力文脈に対して支持されない生成と矛盾する生成の例を収集しました。,REWRITE_REQUIRED,REWRITE_REQUIRED,BOTH_PROPOSALS_OVERRIDDEN_BY_SOURCE_VERIFICATION,APPROPRIATE_SUPPORTED,両案は直接locator未確認としてREWRITE_REQUIREDだったが、RAGTruth Abstractがretrieved contentsに対するunsupported/contradictory claimsと、手動注釈されたcorpusを直接記述するため支持へ更新。,,"https://arxiv.org/abs/2401.00396, Abstract, lines 16–18",DEFINITION_OR_SPEC,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-06,SENT-0777,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,再解析でブロックが変わった場合に、影響するチャンク、埋め込み、引用を特定できる依存関係を持ちます。,REWRITE_REQUIRED,REWRITE_REQUIRED,BOTH_PROPOSALS_RECONCILED_AS_LOCAL_NORM,APPROPRIATE_NORMATIVE,文は外部資料の経験的結果ではなく、本ガイドの取り込み基盤が保持すべき追跡可能性の要件である。再解析時に変更ブロックから派生物へ追跡できることを受入基準とし、手動運用は例外として記録する。,再解析でブロックが変わった場合に、影響するチャンク、埋め込み、引用を特定できる依存関係を持ちます。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-07,SENT-1651,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,ハイブリッド検索は、二つのスコアを最初から足す処理ではありません。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。『ハイブリッド検索は加算ではない』は一般には偽になり得るため、本ガイドが採用する候補統合方式と禁止事項へ限定する。,本ガイドのハイブリッド検索では、各検索器の候補を取得してからRRFまたはrerankerで統合し、尺度の異なる生スコアを無条件には加算しません。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-08,SENT-2878,INCONCLUSIVE_RELATION_NOT_SUPPORTED_BY_POSITIVE_SOURCE_FACTS,検索失敗は、正解がコーパスにない、インデックスが古い、解析や分割で欠けた、埋め込みが合わない、質問変換が逸脱した、フィルターが過剰だった、順位が低かった、という原因へ分類します。,REWRITE_REQUIRED,REWRITE_REQUIRED,BOTH_PROPOSALS_RECONCILED_AS_LOCAL_NORM,APPROPRIATE_NORMATIVE,列挙は研究結果ではなく、本ガイドで用いる障害分析taxonomyである。各失敗を少なくとも一つの原因へ割り当て、複合原因と未分類を例外として許す基準で規範扱いとする。,検索失敗は、正解がコーパスにない、インデックスが古い、解析や分割で欠けた、埋め込みが合わない、質問変換が逸脱した、フィルターが過剰だった、順位が低かった、という原因へ分類します。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-09,SENT-1036,INCONCLUSIVE_UNFORMALIZED_SENTENCE,DPRでは、同じ一括処理内の別文書を負例にし、BM25が上位にした誤文書を難しい負例として利用しました。,APPROPRIATE_SUPPORTED,APPROPRIATE_SUPPORTED,AGREED,APPROPRIATE_SUPPORTED,両案がSUPPORTEDで一致し、DPR §3.2と§5.2でin-batch negativesおよびBM25 hard negativesを再確認した。,,"https://aclanthology.org/2020.emnlp-main.550.pdf, §3.2 Training, pp. 6771–6772 (PDF pp. 2–3), lines 262–285; §5.2, p. 6774 (PDF p. 5), lines 477–502",AUTHOR_CLAIM,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-10,SENT-1157,INCONCLUSIVE_UNFORMALIZED_SENTENCE,GPUは大量のベクトル距離計算を並列化でき、インデックス構築や検索を高速化できる場合があります。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致したが、元の可能性主張に対する条件が不明。GPUの採否を対象データでのCPU比較へ落とす具体的な検証文にする。,GPUの採否は、対象データでインデックス構築時間と検索レイテンシをCPU構成と比較し、データ転送を含む総時間が改善する場合に決めます。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
