source_id,title,url,trust_tier,inspection_status,evidence_scope,formal_atoms,projection_summary,retrieval_date,notes
SRC-001,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,A,PRIMARY_PAGE_INSPECTED,primary_page,rag=true;retrieval=true;generation=true;external_knowledge=true;parametric_memory=true;nonparametric_memory=true;knowledge_intensive=true;open_domain_qa=true;verification=true;evaluation=true;empirical_result=true,"Controlled projection: rag=true, retrieval=true, generation=true, external_knowledge=true, parametric_memory=true, nonparametric_memory=true, knowledge_intensive=true, open_domain_qa=true, verification=true, evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-002,Dense Passage Retrieval for Open-Domain Question Answering,https://aclanthology.org/2020.emnlp-main.550/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;open_domain_qa=true;verification=true;dense=true;lexical=true;document_statistics=true;tf_saturation=true;length_normalization=true;dual_encoder=true;evaluation=true;benchmark=true;recall_metric=true;empirical_result=true;similarity=dot_product,"Controlled projection: retrieval=true, open_domain_qa=true, verification=true, dense=true, lexical=true, document_statistics=true, tf_saturation=true, length_normalization=true, dual_encoder=true, evaluation=true, benchmark=true, recall_metric=true, empirical_result=true, similarity=dot_product",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-003,Enabling Large Language Models to Generate Text with Citations,https://aclanthology.org/2023.emnlp-main.398/,A,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;generation=true;citation=true,"Controlled projection: retrieval=true, generation=true, citation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-004,Know What You Don’t Know: Unanswerable Questions for SQuAD,https://aclanthology.org/P18-2124/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,generation=true;verification=true;unanswerable=true;answerability=true,"Controlled projection: generation=true, verification=true, unanswerable=true, answerability=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-005,The Probabilistic Relevance Framework: BM25 and Beyond,https://doi.org/10.1561/1500000019,A,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;evidence_support=true;tf_saturation=true;length_normalization=true;document_statistics=true;fielded=true;lexical=true;sparse=true,"Controlled projection: retrieval=true, evidence_support=true, tf_saturation=true, length_normalization=true, document_statistics=true, fielded=true, lexical=true, sparse=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-006,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,A,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;evaluation=true;benchmark=true,"Controlled projection: retrieval=true, evaluation=true, benchmark=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-007,FEVER: a Large-scale Dataset for Fact Extraction and VERification,https://aclanthology.org/N18-1074/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,generation=true;verification=true;evidence_support=true;benchmark=true,"Controlled projection: generation=true, verification=true, evidence_support=true, benchmark=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-008,A Survey on Retrieval-Augmented Text Generation for Large Language Models,https://doi.org/10.1145/3805774,A,PRIMARY_PAGE_INSPECTED,primary_page,rag=true;retrieval=true;generation=true,"Controlled projection: rag=true, retrieval=true, generation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-009,"“Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI",https://dl.acm.org/doi/10.1145/3411764.3445518,A,PRIMARY_PAGE_INSPECTED,primary_page,data_quality=true,Controlled projection: data_quality=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-010,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;dataset_documentation=true,"Controlled projection: retrieval=true, dataset_documentation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-011,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,https://aclanthology.org/Q18-1041/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,verification=true;dataset_documentation=true,"Controlled projection: verification=true, dataset_documentation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-012,It's About Time: Incorporating Temporality in Retrieval Augmented Language Models,https://arxiv.org/abs/2401.13222,B,PRIMARY_PAGE_INSPECTED,primary_page,rag=true;retrieval=true;generation=true;temporal_freshness=true,"Controlled projection: rag=true, retrieval=true, generation=true, temporal_freshness=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-013,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,https://arxiv.org/abs/2310.03214,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;factuality=true;hallucination=true;evidence_support=true;temporal_freshness=true;evaluation=true;benchmark=true;human_evaluation=true;empirical_result=true,"Controlled projection: retrieval=true, generation=true, factuality=true, hallucination=true, evidence_support=true, temporal_freshness=true, evaluation=true, benchmark=true, human_evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-014,On the resemblance and containment of documents,https://ieeexplore.ieee.org/document/666900,A,PRIMARY_PAGE_INSPECTED,primary_page,verification=true;dedup=true,"Controlled projection: verification=true, dedup=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-015,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",https://arxiv.org/abs/2205.00445,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;external_knowledge=true;modular=true,"Controlled projection: retrieval=true, generation=true, external_knowledge=true, modular=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-016,Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing,https://arxiv.org/abs/2001.00973,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true,Controlled projection: retrieval=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-017,The ML Test Score: A Rubric for ML Production Readiness and Technical Debt Reduction,https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction/,B,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;evaluation=true;empirical_result=true,"Controlled projection: retrieval=true, evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-018,"FlumeJava: Easy, Efficient Data-Parallel Pipelines",https://research.google/pubs/flumejava-easy-efficient-data-parallel-pipelines/,B,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;evaluation=true;dataflow=true,"Controlled projection: retrieval=true, evaluation=true, dataflow=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
