source_claim_id,technology_id,technology,source_ids,source_urls,source_trust_tiers,source_claim_ja,formal_atoms,claim_kind,formalization_validation,truth_status,notes
SCLAIM-001,CTECH-001,TF-IDF,SRC-067,https://doi.org/10.1016/0306-4573%2888%2990021-0,A,語頻度と逆文書頻度を組み合わせて語を重み付けする。,lexical=true; sparse=true; document_statistics=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-002,CTECH-002,BM25,SRC-005,https://doi.org/10.1561/1500000019,A,語頻度飽和、逆文書頻度、文書長補正を用いる順位付け。,lexical=true; sparse=true; document_statistics=true; tf_saturation=true; length_normalization=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-003,CTECH-003,BM25F,SRC-005,https://doi.org/10.1561/1500000019,A,項目別の重みと長さを扱うBM25の拡張。,lexical=true; fielded=true; sparse=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-004,CTECH-004,Document Expansion by Query Prediction,SRC-062,https://arxiv.org/abs/1904.08375,B,文書に対応し得る質問を予測し、検索表現へ追加する。,generated_terms=true; original_text_preserved=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-005,CTECH-005,SPLADE,SRC-068,https://arxiv.org/abs/2107.05720,B,語彙単位の疎な重みと展開を学習する第一段階検索器。,lexical=true; learned=true; sparse=true; inverted_index_compatible=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-006,CTECH-006,DeepImpact,SRC-069,https://arxiv.org/abs/2104.12016,B,文書中の語が検索へ与える影響度を学習する。,learned=true; sparse=true; term_impact=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-007,CTECH-007,SPLADE v2,SRC-070,https://arxiv.org/abs/2109.10086,B,プーリングと知識蒸留を用いてSPLADEを改善する。,learned=true; sparse=true; distillation=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-008,CTECH-008,DPR,SRC-002;SRC-043,https://aclanthology.org/2020.emnlp-main.550/;https://arxiv.org/abs/2004.04906,A;B,質問と文書を別々に符号化し、内積で検索する二塔型検索器。,dense=true; dual_encoder=true; similarity=dot_product,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-009,CTECH-009,Sentence-BERT,SRC-042,https://arxiv.org/abs/1908.10084,B,文を独立に符号化し、コサイン類似度等で比較できる表現を作る。,dense=true; independent_encoding=true; cosine_compatible=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-010,CTECH-010,ANCE,SRC-072,https://arxiv.org/abs/2007.00808,B,ANNインデックスから難しい負例を継続的に取得して学習する。,dense=true; ann=true; ann_negative_mining=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
