technology_id,technology,category,description,origin_status,origin_source_ids,invariant_ids,unit_count,unit_ids,review_result,notes
TECH-001,RAG,生成・アーキテクチャ,本文中で「RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-001;SRC-058;SRC-097;SRC-099;SRC-109;SRC-121;SRC-122;SRC-110;SRC-140;SRC-149;SRC-156;SRC-162;SRC-166;SRC-158;SRC-157,INV-009;INV-011;INV-012,34,1.2.1;1.7.1;INTRO-1;2.8.1;2.8.2;INTRO-2;4.1.1;4.1.6;5.7.3;6.1.1;6.2.3;7.2.2;8.1.3;8.2.1;8.4.1;8.6.3;9.1.2;9.1.3;9.1.5;9.11.2;9.11.3;9.2.1;9.3.1;9.4.1;9.5.1;9.5.4;9.6.1;9.8.1;9.9.1;9.9.2;INTRO-9;INTRO-10;11.3.3;11.3.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-002,情報源台帳,データ管理,本文中で「情報源台帳」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-004;INV-005;INV-024,6,2.1.3;3.1.1;3.1.5;4.7.3;9.11.1;9.3.1,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-003,Ingestion,Pre-retrieval,本文中で「Ingestion」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-003;INV-022;INV-023,35,2.1.3;2.2.1;2.7.1;2.7.3;2.8.1;3.1.1;3.1.3;3.1.5;3.2.1;3.2.2;3.2.4;3.2.7;3.5.2;3.7.4;3.7.7;INTRO-3;4.7.3;5.1.2;5.1.3;7.1.2;7.3.1;7.3.2;7.4.3;7.7.1;8.2.2;8.3.1;8.3.4;8.3.5;8.6.1;8.7.2;8.7.5;INTRO-8;9.4.1;9.8.1;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-004,Snapshot・Manifest,データ管理,本文中で「Snapshot・Manifest」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-004;INV-017;INV-020,39,2.7.4;3.1.4;3.2.1;3.2.2;3.2.4;3.2.6;3.2.7;3.4.6;3.4.7;3.5.2;3.6.2;3.6.3;3.7.1;3.7.4;3.7.7;3.8.1;3.8.2;3.9.2;3.9.4;5.5.3;6.4.1;7.10.1;7.3.1;7.3.5;7.4.1;7.8.3;7.9.2;8.4.2;8.4.3;8.7.1;8.7.2;8.7.3;9.10.4;9.3.2;9.3.5;9.5.5;9.6.2;9.8.3;9.8.5,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-005,文書解析・Layout・OCR,Pre-retrieval,本文中で「文書解析・Layout・OCR」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-024;SRC-025;SRC-026;SRC-027;SRC-028;SRC-030,INV-004;INV-022,31,2.1.2;2.1.3;3.2.4;3.2.7;3.3.1;3.3.2;3.3.3;3.3.5;3.3.6;3.7.7;3.8.1;5.7.1;7.1.4;7.2.2;7.3.1;7.3.3;7.3.6;7.7.3;7.8.1;8.3.1;8.6.1;8.6.2;9.11.1;9.11.2;9.11.3;9.8.1;9.8.2;9.8.3;9.8.4;9.8.5;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-006,Chunking,Pre-retrieval,本文中で「Chunking」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-032;SRC-034,INV-004;INV-008;INV-022,85,2.1.3;2.2.1;2.4.1;2.6.1;2.7.4;3.2.3;3.3.1;3.3.6;3.4.1;3.4.2;3.4.3;3.4.4;3.4.5;3.4.6;3.5.1;3.5.2;3.5.4;3.5.5;3.5.6;3.6.1;3.6.3;3.6.4;3.6.5;3.7.1;3.7.4;3.7.5;3.8.1;3.9.3;INTRO-3;4.2.2;4.3.1;4.3.3;4.4.2;4.4.3;4.4.5;4.5.1;4.5.3;5.1.1;5.2.1;5.2.2;5.2.4;5.3.4;5.4.1;5.4.2;5.4.3;5.6.1;6.1.2;6.4.1;7.1.1;7.1.2;7.10.1;7.2.1;7.3.1;7.3.3;7.3.4;7.3.5;7.3.6;7.4.1;7.4.2;7.5.3;7.5.4;7.8.1;7.8.3;8.1.1;8.1.2;8.2.1;8.2.2;8.2.4;8.3.5;8.4.2;8.4.3;8.6.2;8.7.1;9.1.1;9.1.2;9.10.1;9.4.1;9.5.2;9.6.2;9.6.3;9.6.4;9.7.2;9.7.3;9.7.5;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-007,Metadata・Provenance,データ管理,本文中で「Metadata・Provenance」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-004;INV-005;INV-019,37,1.3.3;INTRO-1;2.1.3;2.2.1;2.7.1;3.2.1;3.4.5;3.5.1;3.5.2;3.5.5;3.8.1;3.9.2;4.1.4;4.4.1;4.5.3;4.6.2;4.7.3;5.2.1;5.2.5;5.4.1;5.4.3;5.5.1;5.5.3;5.6.1;5.6.4;5.7.1;5.8.1;5.8.2;6.5.1;7.1.1;7.3.1;7.3.4;7.4.4;8.4.2;9.11.2;9.3.5;9.6.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-008,ACL・認可,セキュリティ,本文中で「ACL・認可」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-040;SRC-041,INV-001;INV-002;INV-003;INV-015,160,1.2.1;1.2.2;1.3.2;1.3.3;1.3.4;1.7.1;2.1.2;2.1.3;2.2.1;2.4.1;2.5.2;2.7.1;2.7.2;2.7.4;2.8.1;3.1.2;3.1.3;3.1.5;3.1.6;3.2.1;3.2.3;3.2.5;3.2.6;3.4.2;3.4.5;3.4.6;3.5.1;3.5.3;3.5.4;3.5.5;3.5.6;3.6.1;3.6.5;3.7.1;3.7.4;3.7.5;3.7.6;3.7.7;3.8.1;3.9.1;3.9.2;3.9.3;3.9.4;INTRO-3;4.1.1;4.1.2;4.1.4;4.1.5;4.2.1;4.2.5;4.4.1;4.4.4;4.5.1;4.5.6;4.6.1;4.6.2;4.6.3;4.6.4;4.7.3;INTRO-4;5.1.1;5.1.2;5.1.4;5.1.5;5.2.1;5.3.2;5.3.3;5.3.4;5.5.2;5.6.4;5.7.1;5.8.1;5.8.3;6.1.1;6.3.1;6.3.2;6.4.3;6.5.1;6.6.2;6.6.3;6.7.1;INTRO-6;7.1.2;7.1.5;7.10.2;7.2.1;7.2.2;7.3.1;7.3.4;7.4.2;7.4.4;7.5.1;7.5.2;7.6.4;7.7.1;7.7.3;7.7.5;7.8.2;7.9.2;8.1.1;8.1.2;8.1.3;8.1.4;8.1.5;8.2.1;8.2.2;8.2.3;8.2.4;8.3.1;8.3.3;8.3.4;8.4.1;8.4.2;8.4.3;8.4.4;8.4.5;8.5.1;8.5.3;8.5.4;8.6.3;8.6.5;8.7.1;8.7.2;8.7.3;8.8.2;8.8.3;8.8.4;INTRO-8;9.1.2;9.10.2;9.10.3;9.11.2;9.11.3;9.2.3;9.2.4;9.3.1;9.3.2;9.3.3;9.3.4;9.4.2;9.4.3;9.4.4;9.4.5;9.5.2;9.5.3;9.6.1;9.6.4;9.7.5;9.9.1;9.9.2;9.9.3;9.9.4;9.9.5;9.9.6;INTRO-9;INTRO-10;11.3.2;11.3.3;11.3.4;11.3.5,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-009,Embedding,Pre-retrieval,本文中で「Embedding」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-034;SRC-042;SRC-044;SRC-073;SRC-076;SRC-173,INV-006,76,2.1.2;2.1.3;2.2.1;2.3.1;2.6.2;2.7.1;2.7.3;2.7.4;3.2.1;3.2.2;3.2.3;3.2.4;3.2.6;3.2.7;3.3.1;3.3.6;3.4.2;3.4.4;3.4.6;3.5.1;3.6.1;3.6.2;3.6.3;3.6.4;3.6.5;3.6.6;3.7.1;3.7.4;3.7.5;3.7.6;3.7.7;3.8.1;3.9.1;3.9.2;3.9.3;INTRO-3;4.2.3;4.4.1;4.4.2;4.4.3;4.4.4;4.4.5;4.7.1;4.7.2;4.7.3;INTRO-4;5.1.1;5.3.1;7.1.2;7.10.1;7.3.1;7.3.5;7.3.6;7.4.3;7.4.6;7.8.1;7.8.3;8.1.1;8.2.1;8.2.2;8.2.4;8.3.1;8.3.4;8.4.3;8.6.1;8.6.2;8.7.1;8.8.3;9.10.4;9.3.2;9.6.2;9.8.3;9.8.5;INTRO-9;INTRO-10;11.3.2,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-010,Vector index・ANN,Pre-retrieval,本文中で「Vector index・ANN」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-026;SRC-047;SRC-050;SRC-051;SRC-052;SRC-053;SRC-054;SRC-048,INV-003;INV-006;INV-018,26,2.2.1;3.2.3;3.3.1;3.5.3;3.5.4;3.6.4;3.6.5;3.7.1;3.7.2;3.7.3;3.7.4;3.7.5;3.7.7;4.4.2;4.4.4;4.6.1;4.6.2;4.6.3;5.1.2;7.3.5;7.4.5;8.5.2;8.7.1;8.7.3;9.4.4;9.9.2,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
