scenario_id,name_ja,expected_result,linked_invariants,quint_run
SCN-001,現行版の正常回答,完全回答と有効な引用,INV-004;INV-005;INV-009;INV-011;INV-012;INV-026,happyPathCurrentAnswerTest
SCN-002,過去時点の版を用いる回答,質問時点で有効な版だけを利用,INV-005,historicalVersionAnswerTest
SCN-003,権限外候補,根拠選択不能,INV-001,unauthorizedEvidenceBlockedTest
SCN-004,削除済み候補,根拠選択不能,INV-003,deletedEvidenceBlockedTest
SCN-005,別テナント候補,根拠選択不能,INV-002,wrongTenantBlockedTest
SCN-006,来歴欠損,根拠選択不能,INV-004,missingProvenanceBlockedTest
SCN-007,質問時点と版が不一致,根拠選択不能,INV-005,wrongHistoricalVersionBlockedTest
SCN-008,埋め込み版不一致,検索結果を利用不能,INV-006,embeddingMismatchBlockedTest
SCN-009,Query rewriteで意図喪失,根拠選択不能,INV-007,queryIntentLossBlockedTest
SCN-010,根拠不足,主張を確定せず回答保留,INV-009;INV-013;INV-026,insufficientEvidenceWithheldTest
SCN-011,説明可能な競合,相違を開示した部分回答,INV-010;INV-011;INV-012;INV-026,explainableConflictLimitedAnswerTest
SCN-012,重大な未解決競合,競合を開示し確定主張を行わない,INV-010;INV-013;INV-026,majorConflictNoConclusionTest
SCN-013,取得文書内のツール命令,ツール実行不能,INV-014;INV-015,injectedInstructionCannotExecuteToolTest
SCN-014,読み取り専用ツール,認可済みなら人承認なしで実行,INV-015,readOnlyToolWithoutHumanApprovalTest
SCN-015,未承認の副作用操作,実行不能,INV-015;INV-016,sideEffectWithoutApprovalBlockedTest
SCN-016,承認済み副作用操作,認可・承認・監査付きで実行,INV-015;INV-016;INV-019,approvedSideEffectExecutesTest
SCN-017,Release gate未通過,公開不能,INV-017,publishWithoutGateBlockedTest
SCN-018,公開後の切り戻し,直前の既知良好版へ復帰,INV-017;INV-018;INV-019,releaseAndRollbackTest
SCN-019,公開後の権限剥奪,選択済み根拠を無効化,INV-001;INV-003;INV-019,revocationClearsSelectedEvidenceTest
