source_id,label_in_guide,url,source_type,role,title_resolved,authors_or_owner,year,resolution_status,http_status,used_by_units,first_file,notes
SRC-001,LewisらのRAG研究 / Retrieval-Augmented Generation / Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Lewis, Patrick; Perez, Ethan; Piktus, Aleksandra; Petroni, Fabio; Karpukhin, Vladimir; Goyal, Naman; Küttler, Heinrich; Lewis, Mike; Yih, Wen-tau; Rocktäschel, Tim; Riedel, Sebastian; Kiela, Douwe",2020,resolved,200,1.1.1;1.7.1;11.3.3,docs/1.RAGとは何か/1.1.RAGとは.md,
SRC-002,Dense Passage Retrieval / Dense Passage Retrieval for Open-Domain Question Answering,https://aclanthology.org/2020.emnlp-main.550/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Dense Passage Retrieval for Open-Domain Question Answering,Vladimir Karpukhin; Barlas Oguz; Sewon Min; Patrick Lewis; Ledell Wu; Sergey Edunov; Danqi Chen; Wen-tau Yih,2020,resolved,200,1.2.1;1.7.1;11.3.2,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,
SRC-003,ALCE / ALCEによる引用評価 / Enabling Large Language Models to Generate Text with Citations,https://aclanthology.org/2023.emnlp-main.398/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Enabling Large Language Models to Generate Text with Citations,Tianyu Gao; Howard Yen; Jiatong Yu; Danqi Chen,2023,resolved,200,1.3.3;1.7.1;11.3.3,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,
SRC-004,SQuAD 2.0 / Know What You Don't Know: Unanswerable Questions for SQuAD,https://aclanthology.org/P18-2124/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Know What You Don’t Know: Unanswerable Questions for SQuAD,Pranav Rajpurkar; Robin Jia; Percy Liang,2018,resolved,200,1.3.4;11.3.5,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,
SRC-005,BM25の確率的検索モデル / BM25の確率的枠組み / The Probabilistic Relevance Framework: BM25 and Beyond,https://doi.org/10.1561/1500000019,DOI解決先,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,The Probabilistic Relevance Framework: BM25 and Beyond,Stephen Robertson; Hugo Zaragoza,2009,resolved,200,1.7.1;4.3.3;11.3.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,metadata_resolved_via=Crossref; doi=10.1561/1500000019
SRC-006,BEIRによる検索方式の横断評価,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,"Thakur, Nandan; Reimers, Nils; Rücklé, Andreas; Srivastava, Abhishek; Gurevych, Iryna",2021,resolved,200,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,
SRC-007,FEVERによる根拠支持・反証・情報不足の評価 / FEVER / FEVER: a Large-scale Dataset for Fact Extraction and VERification,https://aclanthology.org/N18-1074/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,FEVER: a Large-scale Dataset for Fact Extraction and VERification,James Thorne; Andreas Vlachos; Christos Christodoulopoulos; Arpit Mittal,2018,resolved,200,1.7.1;5.5.2;5.7.1;6.5.1;11.3.5,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,
SRC-008,Huangらのサーベイ / 検索拡張テキスト生成に関するサーベイ,https://doi.org/10.1145/3805774,DOI解決先,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,A Survey on Retrieval-Augmented Text Generation for Large Language Models,Yizheng Huang; Jimmy Xiangji Huang,2026,resolved,200,2.1.1;INTRO-2,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,metadata_resolved_via=Crossref; doi=10.1145/3805774
SRC-009,Data Cascades,https://dl.acm.org/doi/10.1145/3411764.3445518,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,"“Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI",Nithya Sambasivan; Shivani Kapania; Hannah Highfill; Diana Akrong; Praveen Paritosh; Lora M Aroyo,2021,resolved,200,3.1.1,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,metadata_resolved_via=Crossref; doi=10.1145/3411764.3445518
SRC-010,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Datasheets for Datasets,"Gebru, Timnit; Morgenstern, Jamie; Vecchione, Briana; Vaughan, Jennifer Wortman; Wallach, Hanna; Daumé III, Hal; Crawford, Kate",2018,resolved,200,3.1.1;7.3.4;8.2.1;8.8.2;11.3.5,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
