sentence_id,docs_commit,original_sentence,revised_sentence,semantic_proposition,logical_operator,claim_type,modality,scope,primary_source_ids,source_locator,source_claim_role,supported_atoms,unsupported_atoms,unsupported_relation,appropriateness_verdict,verdict_reason,normative_criteria,exceptions,external_truth_level,action,owner,due_date,unblock_condition,lean_theorem,lean_assurance,axiom_audit,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date,review_status
SENT-0014,52bebecfb2a435d0e7ff2efea557c5799674ded6,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,,"AND(AND(AND(AND(ATOM(retrieval=true), ATOM(evidence_support=true)), ATOM(temporal_freshness=true)), ATOM(evaluation=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できます,1.1.3 (docs/1.RAGとは何か/1.1.RAGとは.md:27),SRC-001,,,,evidence_support=true;temporal_freshness=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0023,52bebecfb2a435d0e7ff2efea557c5799674ded6,RAGは、このような検索器の結果を言語モデルへ渡します。,,"AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(empirical_result=true))",AND,general_technical_claim,UNCLASSIFIED,1.2.1 (docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md:12),SRC-002,,,,generation=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0037,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,必要,1.3.3 (docs/1.RAGとは何か/1.3.RAGが解決する問題.md:19),SRC-003,,,,evaluation=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0081,52bebecfb2a435d0e7ff2efea557c5799674ded6,FEVERによる根拠支持・反証・情報不足の評価,,"AND(ATOM(evidence_support=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12),SRC-007,,,,evaluation=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0082,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEによる引用評価,,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13),SRC-003,,,,evaluation=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0083,52bebecfb2a435d0e7ff2efea557c5799674ded6,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,,UNFORMALIZED,UNFORMALIZED,empirical_or_research_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15),SRC-001;SRC-002;SRC-003;SRC-004;SRC-005,,,,,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,主体・対象・条件・例外・極性・modalityを意味保存して分解し、再形式化する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0089,52bebecfb2a435d0e7ff2efea557c5799674ded6,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,,"AND(AND(AND(AND(ATOM(temporal_freshness=true), ATOM(ab_testing=true)), ATOM(latency=true)), ATOM(cost=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できる,1.7.2 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25),SRC-001;SRC-002;SRC-043,,,,ab_testing=true;cost=true;latency=true;temporal_freshness=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0105,52bebecfb2a435d0e7ff2efea557c5799674ded6,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,,"NOT(AND(AND(AND(AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(external_knowledge=true)), ATOM(bedrock_kb=true)), ATOM(retrieve_and_generate=true)), ATOM(empirical_result=true)))",NOT,official_product_contract,UNCLASSIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14),SRC-178,,,,empirical_result=true;external_knowledge=true,NOT,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,NOTまたはIMPLIESの関係自体を支持する箇所を確認し、なければ関係を弱めて書き換える,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0109,52bebecfb2a435d0e7ff2efea557c5799674ded6,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,,"IMP(AND(AND(ATOM(rerank=true), ATOM(dedup=true)), ATOM(evidence_support=true)), ATOM(retrieval=true))",IMPLIES,official_product_contract,UNCLASSIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18),SRC-178,,,,dedup=true;evidence_support=true;rerank=true,IMPLIES,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,NOTまたはIMPLIESの関係自体を支持する箇所を確認し、なければ関係を弱めて書き換える,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0110,52bebecfb2a435d0e7ff2efea557c5799674ded6,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,,"AND(AND(AND(ATOM(retrieval=true), ATOM(external_knowledge=true)), ATOM(evidence_support=true)), ATOM(bedrock_kb=true))",AND,official_product_contract,必要;できる,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18),SRC-178,,,,evidence_support=true;external_knowledge=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0113,52bebecfb2a435d0e7ff2efea557c5799674ded6,疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。,,"AND(AND(ATOM(sparse=true), ATOM(retrieval=true)), ATOM(empirical_result=true))",AND,general_technical_claim,必要,10.1.2 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:24),SRC-179,,,,empirical_result=true;sparse=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
SENT-0114,52bebecfb2a435d0e7ff2efea557c5799674ded6,Amazon OpenSearch Serverlessは、密検索、疎検索、ハイブリッド検索を提供します。,,"AND(AND(AND(ATOM(sparse=true), ATOM(dense=true)), ATOM(retrieval=true)), ATOM(opensearch=true))",AND,official_product_contract,UNCLASSIFIED,10.1.2 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:25),SRC-179,,,,opensearch=true;sparse=true,,BLOCKED,一次資料・日本語意味・領域知識の独立レビューが未完了,,,UNVERIFIED,一次資料の直接locatorを確認し、不足atomへ根拠を追加するか本文を限定・分割する,rag-guide-maintainers,2026-09-30,一次レビューと別担当の独立レビューを記録し、直接locator・主張役割・最終判定を確定する,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,,,,,PENDING_PRIMARY_REVIEW
