sentence_id,field,current_value,replacement_value,reason
SENT-0083,revised_sentence,「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が評価したデータセット、モデル、比較器、指標の範囲では、これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,これらの研究の結果は、それぞれが評価した知識集約タスクとモデルの条件に限られ、別のデータや業務で同じ効果を保証しません。,「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）へ一律のdataset/model/comparator/metric接頭辞を付すと、方法定義・論考・運用規範まで実験結果のように扱う。SENT-0083の主体・対象・極性だけを残した文固有表現へ置換する。
SENT-0089,source_locator,SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-002 https://aclanthology.org/2020.emnlp-main.550/ — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-043 https://arxiv.org/abs/2004.04906 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0109,source_locator,SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0113,source_locator,SRC-179 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0117,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-052 https://arxiv.org/abs/1702.08734 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-064 https://dl.acm.org/doi/10.1145/1571941.1572114 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0131,source_locator,SRC-179 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0137,source_locator,SRC-180 https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0138,source_locator,SRC-180 https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0152,source_locator,SRC-183 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-create-index.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0155,source_locator,SRC-183 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-create-index.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0156,source_locator,SRC-180 https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-181 https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-embed-text.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-182 https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-embed-v3.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0158,source_locator,SRC-184 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-advanced-parsing.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0160,source_locator,SRC-184 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-advanced-parsing.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0163,exceptions,法令、契約、利用時点の公式仕様、または対象データでの再現試験が異なる条件を要求する場合は、その差分と承認理由を記録して適用範囲を更新する。,標準処理が同じlocatorと検索単位を欠損なく返せる文書形式にはcustom transformation Lambdaを適用しない。,SENT-0163の現例外は本文と無関係な一般条件であるため、この規則で許容する代替と禁止事項へ置換する。
SENT-0163,normative_criteria,「標準処理で出典位置や業務上の検索単位を保てない場合は、custom transformation Lambdaでchunkとmetadataを返…」を適用する対象、前提条件、観測指標、合否閾値、責任者を同じ節または設計記録に明示する。,標準処理で出典位置または業務上の検索単位を保持できない文書形式だけを対象にし、custom transformation Lambdaの出力chunkがsource URI、page/section locator、業務単位IDをすべて持つことをfixtureで確認する。,SENT-0163の現criteriaは対象・検査結果・不合格条件を確定していないため、本文固有の受入試験へ置換する。
SENT-0163,source_locator,SRC-185 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-custom-transformation.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0166,source_locator,SRC-186 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-chunking.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0171,source_locator,SRC-179 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-183 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-create-index.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-189 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-metadata-filtering.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0177,source_locator,SRC-184 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-advanced-parsing.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-185 https://docs.aws.amazon.com/bedrock/latest/userguide/kb-custom-transformation.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0189,source_locator,SRC-187 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0190,source_locator,SRC-052 https://arxiv.org/abs/1702.08734 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0198,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-052 https://arxiv.org/abs/1702.08734 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-064 https://dl.acm.org/doi/10.1145/1571941.1572114 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0199,source_locator,SRC-187 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-188 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrievalFilter.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-190 https://docs.aws.amazon.com/bedrock/latest/userguide/rerank-use.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0200,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-064 https://dl.acm.org/doi/10.1145/1571941.1572114 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0201,source_locator,SRC-187 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-190 https://docs.aws.amazon.com/bedrock/latest/userguide/rerank-use.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0203,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-052 https://arxiv.org/abs/1702.08734 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-187 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0204,source_locator,SRC-064 https://dl.acm.org/doi/10.1145/1571941.1572114 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0206,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-052 https://arxiv.org/abs/1702.08734 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-187 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0208,source_locator,SRC-005 https://doi.org/10.1561/1500000019 — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0212,exceptions,法令、契約、利用時点の公式仕様、または対象データでの再現試験が異なる条件を要求する場合は、その差分と承認理由を記録して適用範囲を更新する。,利用region/versionのRetrievalFilter APIがoperatorを公式に提供しない場合はそのoperatorを生成せず、同値な事前絞り込みへ切り替える。,SENT-0212の現例外は本文と無関係な一般条件であるため、この規則で許容する代替と禁止事項へ置換する。
SENT-0212,normative_criteria,「equals、in、greaterThan、listContainsなどの候補はRetrievalFilter APIで確認します。」を適用する対象、前提条件、観測指標、合否閾値、責任者を同じ節または設計記録に明示する。,equals、in、greaterThan、listContainsを使用候補のallowlistへ登録し、各operatorについて有効値と型不一致値をRetrievalFilter APIへ送り、期待する候補集合またはvalidation errorになることを統合試験で確認する。,SENT-0212の現criteriaは対象・検査結果・不合格条件を確定していないため、本文固有の受入試験へ置換する。
SENT-0212,source_locator,SRC-188 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrievalFilter.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
SENT-0215,source_locator,SRC-189 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-metadata-filtering.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,NOT_APPLICABLE_LOCAL_NORM,APPROPRIATE_NORMATIVEかつexternal_truth_level=NOT_APPLICABLEであるため、未検証の外部候補URLを直接根拠locatorとして残さない。
