sentence_id,field,current_value,replacement_value,reason
SENT-0014,revised_sentence,工程ごとの成果物で、古い資料、検索の取りこぼし、根拠の誤読を区別できるかを、対象データと固定した比較条件で検証します。,本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。,外部事実または具体的設計を一律のローカル実験文へ変えず、主体、構成、条件、モダリティを保持した文固有の修正文へ置換する。
SENT-0089,exceptions,文中の数値は初期候補であり、dataset、model、index、負荷、言語、業務リスクが変わる場合は再測定して閾値を更新する。,「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」の比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。,comparison共通例外では本文に許される代替範囲を特定できないため、対象規則に対応する許容条件と禁止事項へ置換する。
SENT-0089,normative_criteria,文中の比較について対象dataset、gold evidence、baseline、candidate数、指標、合否閾値を固定し、平均値だけでなく失敗sliceと回帰を記録する。,「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」で指定した品質・安全性・latency・costの各指標を同一evaluation runから算出し、列挙した指標の欠測がなく、必須条件の論理積で合否を決める。,comparison共通文では本文固有の対象と合否を検査できないため、列挙項目と失敗条件を観測できる受入条件へ置換する。
SENT-0109,exceptions,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」のservice/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。,service共通例外では本文に許される代替範囲を特定できないため、対象規則に対応する許容条件と禁止事項へ置換する。
SENT-0109,normative_criteria,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。,service共通文では本文固有の対象と合否を検査できないため、列挙項目と失敗条件を観測できる受入条件へ置換する。
SENT-0113,exceptions,より単純な工程が同じ品質、安全性、遅延、費用、追跡可能性の受入条件を満たす場合は、その代替構成を採用できる。,「疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。」と異なる統合方式はcalibration済みscoreまたは別rerankerとしてversion管理できるが、未調整の異尺度scoreを黙って直接加算しない。,process共通例外では本文に許される代替範囲を特定できないため、対象規則に対応する許容条件と禁止事項へ置換する。
SENT-0113,normative_criteria,文中の工程順と分岐ごとに入力、出力、責任主体、成功条件、失敗時の遷移をmanifestへ定義し、統合試験で追跡可能性を確認する。,「疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。」の統合規則をversion管理し、複数retrieverが返す既知rank listから期待するcandidate順序を再現し、生scoreの無条件加算や重複candidateが発生しないことを確認する。,process共通文では本文固有の対象と合否を検査できないため、列挙項目と失敗条件を観測できる受入条件へ置換する。
SENT-0116,revised_sentence,Amazon Aurora PostgreSQLは、密検索とrelational dataを近い境界で管理できるかを、対象データと固定した比較条件で検証します。,Amazon Aurora PostgreSQLを使う構成では、dense vectorとrelational dataを同じdatabase境界で管理できます。対応versionとvector機能は利用時点の公式仕様で確認します。,外部事実または具体的設計を一律のローカル実験文へ変えず、主体、構成、条件、モダリティを保持した文固有の修正文へ置換する。
SENT-0117,exceptions,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,「Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用します。」のservice/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。,service共通例外では本文に許される代替範囲を特定できないため、対象規則に対応する許容条件と禁止事項へ置換する。
SENT-0117,normative_criteria,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,「Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用します。」に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,service共通文では本文固有の対象と合否を検査できないため、列挙項目と失敗条件を観測できる受入条件へ置換する。
