ID	論文タイトル（統一）	別名・略称	著者	年	出現回数	関連章	関連レイヤー	関連技術・概念	ガイドでの扱い	URL	備考
P001	Dense Passage Retrieval for Open-Domain Question Answering	DPR	Karpukhin et al.	2020	2	1. RAGとは何か（必須） / 4. Retrieval（Real-time Layer）（必須）	概論 / Real-time Layer	Dense retrieval / Dense retrieval / dual encoder	RAGでは「生成モデルが賢いか」だけでなく「根拠候補を取れるか」が品質上限になる。4章のretrieval説明への橋渡しにする。	https://arxiv.org/abs/2004.04906	同URLに複数表記あり
P002	How Much Knowledge Can You Pack Into the Parameters of a Language Model?		Roberts et al.	2020	1	1. RAGとは何か（必須）	概論	Closed-book QA	外部文書を与えず、モデルの内部知識だけで質問に答える方式。fine-tuningやモデル大型化で解ける範囲と、RAGを使うべき範囲の対比に使う。	https://arxiv.org/abs/2002.08910
P003	Improving language models by retrieving from trillions of tokens	RETRO	Borgeaud et al.	2021	1	1. RAGとは何か（必須）	概論	Retrieval-enhanced model scaling	retrievalはアプリケーション実装だけでなく、モデルアーキテクチャ自体を小さく効率化する手段にもなる。RAGの技術的射程を説明する。	https://arxiv.org/abs/2112.04426
P004	KILT: a Benchmark for Knowledge Intensive Language Tasks	KILT	Petroni et al.	2020	2	1. RAGとは何か（必須） / 7. 評価（Batch Layer + Real-time Layer）（必須）	概論 / Batch + Real-time + Control Plane	Knowledge-intensive tasks / provenance / Knowledge-intensive task benchmark	open-domain QA、fact checking、dialogue、slot fillingなど、外部知識と根拠提示が必要なタスク群。RAGの評価対象と引用の必要性を説明する。	https://arxiv.org/abs/2009.02252	同URLに複数表記あり
P005	Language Models as Knowledge Bases?		Petroni et al.	2019	1	1. RAGとは何か（必須）	概論	Parametric memory	LLMは学習済みパラメータの中に一定の事実知識を保持するが、更新性、出典提示、権限制御、誤記憶の扱いに限界がある。RAGが必要になる出発点として説明する。	https://arxiv.org/abs/1909.01066
P006	Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering	Fusion-in-Decoder	Izacard & Grave	2020 / 2021	3	1. RAGとは何か（必須） / 2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須）	概論 / Control Plane / Real-time Layer	Multi-passage evidence synthesis / Reader-generator分離	複数の検索結果をgeneratorが統合して回答する考え方。RAGを単なる1文書QAではなく、複数根拠を統合する仕組みとして説明する。	https://arxiv.org/abs/2007.01282	同URLに複数表記あり / 年表記に揺れあり
P007	Lost in the Middle: How Language Models Use Long Contexts	Lost in the Middle	Liu et al.	2023 / 2024	3	1. RAGとは何か（必須） / 5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須） / 9. 高度なRAG（発展）	概論 / Real-time Layer / Control Plane	Long-contextとの違い / Long-context packing / Long-context RAG	長いcontext windowに全文を詰めればRAG不要、とは限らない。関連情報の位置、ノイズ、コスト、引用性の問題を説明する。	https://arxiv.org/abs/2307.03172	同URLに複数表記あり / 年表記に揺れあり
P008	REALM: Retrieval-Augmented Language Model Pre-Training	REALM	Guu et al.	2020	3	1. RAGとは何か（必須） / 2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須）	概論 / Control Plane / Real-time Layer	Non-parametric memory / Retrieval-augmented LM architecture / Retrieval-augmented generation	外部文書indexを「更新可能な知識記憶」として扱い、LLMの内部知識と分離する考え方。RAGの根本概念である。	https://arxiv.org/abs/2002.08909	同URLに複数表記あり
P009	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	RAG	Lewis et al.	2020	3	1. RAGとは何か（必須） / 2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須）	概論 / Control Plane / Real-time Layer	RAGの基本定義 / Naive RAG / Retrieval-augmented generation	parametric memoryであるseq2seq modelと、non-parametric memoryであるdense vector indexを組み合わせて生成する方式。RAGの一文定義の根拠にする。	https://arxiv.org/abs/2005.11401	同URLに複数表記あり
P010	Retrieval-Augmented Generation for Large Language Models: A Survey		Gao et al.	2023	1	1. RAGとは何か（必須）	概論	RAG taxonomy	Naive RAG、Advanced RAG、Modular RAGという発展段階を示し、2章以降の構成へ接続する。	https://arxiv.org/abs/2312.10997
P011	Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks	Modular RAG	Gao et al.	2024	2	2. アーキテクチャ（必須） / 9. 高度なRAG（発展）	Control Plane	Modular RAG / Federated / routed retrieval	query rewriting、routing、retrieval、reranking、generation、verificationをモジュールとして組み替える考え方。Batch / Real-time / Control Planeの整理に対応する。	https://arxiv.org/abs/2407.21059	同URLに複数表記あり
