sentence_id,logical_operator,relation_disposition,evidence_source_ids,evidence_locator,spec_contract,relation_reviewer,relation_review_date,relation_status,notes
SENT-0105,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0109,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けることを定める検索・経路選択規則について、この規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0124,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0131,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進むことを定める検索・経路選択規則について、この規則で指定した検索経路と分岐条件をtraceへ記録し、条件を満たすfixtureと満たさないfixtureで、選択retriever、candidate集合、fallback先が期待値に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0155,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,Knowledge Basesへ既存indexを接続するときは、embeddingのdimensionとindexのdimensionが一致することを確認することを定める構成・設定規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0156,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,OpenSearch Serverlessを接続する場合は、vector field、filterableなtext field、filter対象のmetadata field、Bedrockが管理するmetadata fieldの名前も接続設定と同じmanifestへ記録することを定める追跡性・証跡管理規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0160,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,表、図、複雑なlayoutを検索対象にする場合は、高度な文書解析のBedrock Data Automationまたはfoundation model parserを比較することを定める評価・採否規則について、この規則に挙げたmodelまたはserviceを同一の日本語gold query、document version、candidate数で実行し、Recallとlatencyを比較して採否を記録する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0163,NOT,SPEC_CONTRACT_SUPPORTED,,,標準処理で出典位置または業務上の検索単位を保持できない文書形式だけを対象にし、custom transformation Lambdaの出力chunkがsource URI、page/section locator、業務単位IDをすべて持つことをfixtureで確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0171,NOT,SPEC_CONTRACT_SUPPORTED,,,親子関係はmetadataを増やすため、S3 Vectorsでは1 KBのcustom metadata上限を超えないことを先に確認することを定める運用規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0189,NOT,SPEC_CONTRACT_SUPPORTED,,,S3 Vectorsなど疎検索を提供しないstoreではSEMANTICを使います。 S3 Vectors接続でsparse capabilityが無いfixtureにSEMANTICを設定し、検索requestが成功することとHYBRIDを送らないことをintegration traceで確認します。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
