baseline_sentence_id,file,target_sentence,target_sentence_sha256,claim_type,evidence_required,classification_reason,source_verdict,review_status
SENT-0081,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,FEVERによる根拠支持・反証・情報不足の評価,e0796911fd6c1d939a82a5920eb0a2a63ae1140f6487d88c2e2e9536ebd62b09,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0082,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,ALCEによる引用評価,c772c8b03b8e04e23b5cac542ed571cf10771c5c99d92cc92c7d9d49d0b4e5b7,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0083,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱いません。,062e72edef294d40ec2473cdd7ee6f36532d22017b524854cdc99f05ad7f70d5,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0089,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,d92536c6965dae8bb44bffb9835322dadf59f15d647e7e6a05ab297bd8530c04,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0327,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,検索前処理のうち、文書解析、分割、埋め込み、索引作成はBatch Layerで動き、質問理解と質問変換はReal-time Layerで動きます。,d58bf4a093739fc77481adf857ecce9145b752e7c1b65b73c8bb139517cceb39,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0351,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,| 検索後処理 | Context compression | [第5章 5.4.](../5.根拠を選別・整形する/5.4.Context compression.md) |,19f373d154ee8aba1edf3665625df8ceaab2970ec07eb75f71e255247ff6706f,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0360,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,| 生成 | Citation | [第6章 6.4.](../6.根拠に基づいて回答する/6.4.Citation設計.md) |,0e0b8d16c0721881c66d6165756ebaffb0e3ffa22c03822bee2d727236bcee80,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0365,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,四工程を横断する評価は[第7章](../7.品質を評価し改善する/序文.md)、RAG固有の非機能と運用は[第8章](../8.安全に運用する/序文.md)で確認します。,5fcc92bcff8d1ea541f07a1b9088d6390d67cb99734b59fc353feb53090de2cc,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0372,docs/2.アーキテクチャ/2.2.検索前処理の概要.md,各文書とチャンクには、出典、版、時点、分類、来歴、アクセス制御属性を付けます。,d41eeb309c1873c14af7925270d6908dc80389905ba186a432e900641e0f0af0,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0389,docs/2.アーキテクチャ/2.3.検索の概要.md,本ガイドでは、Recall@kを、検索結果の上位k件までに質問へ答えるための正解根拠を回収できた割合として用います。,e2de4ba44853311aaa3588024c8a0671423935a61dd5c5b106c22d97cc0b0b3f,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0390,docs/2.アーキテクチャ/2.3.検索の概要.md,指標の計算方法と、正解根拠が複数ある場合の扱いは[Retrieval評価](../7.品質を評価し改善する/7.4.Retrieval評価.md)で説明します。,c08149337ec7eb893e6eb61fed093de3225c88deee48189352d0b6afd67c4937,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0396,docs/2.アーキテクチャ/2.4.検索後処理の概要.md,候補数が多い場合は再順位付けで質問への適合度を比較し、必要な文だけを抽出する場合は出典位置を保ったまま圧縮します。,b5d0625ed14e8b6fb8e430ec2ae554a9a304378a38fcb8242830bd9bc85fe9fa,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0419,docs/2.アーキテクチャ/2.6.評価の概要.md,| Recall@k | 検索結果の上位k件までに、必要な正解根拠をどの程度回収できたか | [7.4. Retrieval評価](../7.品質を評価し改善する/7.4.Retrieval評価.md) |,54e4853f68e1642a7c1227e17b3c5fefb1ea4fe00f8669deaf6734fa9959b05d,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0420,docs/2.アーキテクチャ/2.6.評価の概要.md,| Evidence sufficiency | 選んだ根拠の集合だけで、質問へ答えるための情報が足りるか | [7.5. Post-retrieval・Evidence評価](../7.品質を評価し改善する/7.5.Post-retrieval・Evidence評価.md) |,a5b83a5857ef1809841f4de07afc387f756299e2d8f9866b894c150c0619010a,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0421,docs/2.アーキテクチャ/2.6.評価の概要.md,| Faithfulness | 回答中の検証可能な主張が、提示した根拠に支持されているか | [7.6. Generation評価](../7.品質を評価し改善する/7.6.Generation評価.md) |,24832bc4b3edb65ebbb3b5b0b32be43d3eac122e3732226c2a12f5d945bff673,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0422,docs/2.アーキテクチャ/2.6.評価の概要.md,| Citation correctness | 各引用が、対応する主張を実際に裏付けているか | [7.6. Generation評価](../7.品質を評価し改善する/7.6.Generation評価.md) |,8f01f046e15afb774798202f40baa4a95df78533dc8e1c6f82eea560ac3432ed,expository_or_structural,no,Wave 4二者レビューで表・索引・見出し等の非命題要素として確定,REMOVE_OR_REPLACE,FINAL_TWO_REVIEWER_APPROVED
SENT-0424,docs/2.アーキテクチャ/2.6.評価の概要.md,指標の定義と評価データの作り方は[品質を評価し改善する](../7.品質を評価し改善する/序文.md)で扱います。,bf7aea8ccf275218c8458903aac9997b25947fe17442cd9406da2786eab1f16d,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
SENT-0428,docs/2.アーキテクチャ/2.6.評価の概要.md,この対応により、公開判断、限定公開、切り戻し、次の改善対象を同じ証拠から決められます。,549c3dcd55cc48d0d225598a02114d13450ac6a261e0866039ec1e87be0e4889,normative_design_statement,no,Wave 4二者レビューで本ガイドの規範として確定,APPROPRIATE_NORMATIVE,FINAL_TWO_REVIEWER_APPROVED
