sentence_id,baseline_docs_commit,target_docs_commit,file,line_start,review_priority,required_review,original_sentence,revised_sentence,appropriateness_verdict,verdict_reason,primary_source_ids,source_locator,source_claim_role,external_truth_level,action,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date,review_status,remaining
SENT-0014,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.1.RAGとは.md,27,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。,REWRITE_REQUIRED,proceedings.neurips.ccのAbstractへの参照は台帳にありますが、evidence_support、temporal_freshnessについて各要素と結論との直接の対応まで同時に再特定できる直接箇所が確定していません。本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断するという範囲まで対象と条件を絞り、未確認の効果や一般化を実験結果のように読ませない文面にします。 修正文にある主体と操作対象は保ちつつ、直接根拠を越える各要素と結論との直接の対応を落とす差分なので、REWRITE_REQUIREDと判定します。,SRC-001,SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,EMPIRICAL_RESULT,UNVERIFIED,1.1.3 (docs/1.RAGとは何か/1.1.RAGとは.md:27); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の現文を次の文へ置換する: 本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。 再抽出した文面と分類を照合する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0023,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,12,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,RAGは、このような検索器の結果を言語モデルへ渡します。,,APPROPRIATE_SUPPORTED,RAG原著Abstractが、取得文書を生成器の条件として用いる構成を直接記述しており、原文の検索結果を言語モデルへ渡す関係を支持する。,SRC-001,"https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html, Abstract, lines 9–10",DEFINITION_OR_SPEC,SOURCE_ASSERTED,1.2.1 (docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の本文を維持し、確定した一次資料locator・主張役割・外的真偽境界を台帳へ固定する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0037,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,19,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,,APPROPRIATE_SUPPORTED,ALCE §3.3がcitation recall（要引用主張の被覆）とcitation precision/correctnessを別指標として定義しており、原文の二分を直接支持する。,SRC-003,"https://aclanthology.org/2023.emnlp-main.398.pdf, §3.3 Citation Quality, pp. 6467–6468 (PDF pp. 3–4)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,1.3.3 (docs/1.RAGとは何か/1.3.RAGが解決する問題.md:19); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の本文を維持し、確定した一次資料locator・主張役割・外的真偽境界を台帳へ固定する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0081,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,12,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,FEVERによる根拠支持・反証・情報不足の評価,FEVERによる根拠支持・反証・情報不足の評価,REMOVE_OR_REPLACE,FEVERによる根拠支持・反証・情報不足の評価 この行は 1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ NOT_A_NORMATIVE_CLAIM を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SRC-007,SRC-007 https://aclanthology.org/N18-1074/ — abstract inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NOT_APPLICABLE,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 のMarkdown表示は維持し、Wave 4分類overrideで技術的事実の命題集合から除外する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0082,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,13,P1,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,ALCEによる引用評価,ALCEによる引用評価,REMOVE_OR_REPLACE,ALCEによる引用評価 この行は 1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ NOT_A_NORMATIVE_CLAIM を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SRC-003,SRC-003 https://aclanthology.org/2023.emnlp-main.398/ — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NOT_APPLICABLE,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 のMarkdown表示は維持し、Wave 4分類overrideで技術的事実の命題集合から除外する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0083,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,15,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱いません。,APPROPRIATE_NORMATIVE,本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱わないという運用要件は、実行時の判断を担当者ごとにぶらさないためのローカル規則です。各研究のデータセット、モデル、比較器、指標、期間を記録し、対象業務との差分が未評価なら効果を一般化しない。 さらに、対象業務データで同じ指標と比較条件による再現試験を通過した範囲だけは、再現条件を明記して適用できる。 この扱いを例外として記録します。 実装結果と例外発生時の扱いを個別に検査できるため、APPROPRIATE_NORMATIVEです。,,,DEFINITION_OR_SPEC,NOT_APPLICABLE,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の現文を次の文へ置換する: 本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱いません。 再抽出した文面と分類を照合する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0089,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,25,P2,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;CLAIM_POLARITY,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,,APPROPRIATE_NORMATIVE,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めるという採否判断は、比較対象と合格条件を実行結果で識別するために置きます。本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。 さらに、この比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。 この扱いを例外として記録します。 同じ条件での比較と採用しない条件を両方記録できるため、APPROPRIATE_NORMATIVEです。,,,DEFINITION_OR_SPEC,NOT_APPLICABLE,1.7.2 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の本文を維持し、normative_criteriaとexceptionsを設計台帳へ固定する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0105,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,14,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;RELATION,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,| Managed Knowledge Base | Retrieve、またはgenerateResponse=falseのAgenticRetrieveStream | AgenticRetrieveStreamで生成するか、検索結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,REMOVE_OR_REPLACE,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません | この行は 10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 にあるMarkdown表示単位で、単独の技術命題として検証できる主語・述語を備えていません。表示は維持しつつ empirical_result=true;external_knowledge=true を証拠要求の命題集合から除外するため、REMOVE_OR_REPLACEの分類overrideを適用します。,SRC-178,SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,UNVERIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 のMarkdown表示は維持し、Wave 4分類overrideで技術的事実の命題集合から除外する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0109,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,18,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN;RELATION,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,,APPROPRIATE_NORMATIVE,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けるという検索経路は、候補の収集・統合・選択を再現可能にするガイド内の決定です。この規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。 適用境界では、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 検索結果の合格条件と別経路へ切り替える条件が検査できるため、APPROPRIATE_NORMATIVEです。,,,DEFINITION_OR_SPEC,NOT_APPLICABLE,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の本文を維持し、normative_criteriaとexceptionsを設計台帳へ固定する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
SENT-0110,52bebecfb2a435d0e7ff2efea557c5799674ded6,c49b0f7ca1607af13b9906e73361b19155730964,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md,18,P0,PRIMARY_SOURCE;JAPANESE_SEMANTICS;DOMAIN,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,[根拠整形](../5.根拠を選別・整形する/序文.md)の必須処理をKnowledge Bases設定だけで表現できない場合は、RetrieveとConverseの間に独自処理を分離します。,APPROPRIATE_NORMATIVE,重複排除、rerank、矛盾処理、Evidence Set化、claim検査のうちKnowledge Bases設定へ対応付けられない処理があれば、RetrieveとConverseの間へ独自処理を置く設計判断です。全処理を同じ意味と証跡で設定だけに実装できた場合に限って一体構成を認めるため、分離条件と例外を統合試験で判定できるAPPROPRIATE_NORMATIVEです。,,,DEFINITION_OR_SPEC,NOT_APPLICABLE,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6 の現文を次の文へ置換する: [根拠整形](../5.根拠を選別・整形する/序文.md)の必須処理をKnowledge Bases設定だけで表現できない場合は、RetrieveとConverseの間に独自処理を分離します。 再抽出した文面と分類を照合する。,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15,FINAL_TWO_REVIEWER_APPROVED,no
