sentence_id,primary_verdict,independent_verdict,final_verdict,final_revised_sentence,final_reason,final_normative_criteria,final_exceptions,final_action,adjudicator,adjudication_date
SENT-0014,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,工程ごとの成果物で、古い資料、検索の取りこぼし、根拠の誤読を区別できるかを、対象データと固定した比較条件で検証します。,現文は研究報告または引用元への帰属を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/1.RAGとは何か/1.1.RAGとは.md:27 の現文を「工程ごとの成果物で、古い資料、検索の取りこぼし、根拠の誤読を区別できるかを、対象データと固定した比較条件で検証します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0081,REMOVE_OR_REPLACE,APPROPRIATE_SUPPORTED,REMOVE_OR_REPLACE,FEVERによる根拠支持・反証・情報不足の評価,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12 の表示内容とMarkdown構造は維持し、sentence evidence generatorでnavigation、heading、list-item、table-cellまたはcode-flowの非命題として分類して、命題監査キューから除外する。,codex-wave4-adjudicator,2026-08-15
SENT-0082,REMOVE_OR_REPLACE,APPROPRIATE_SUPPORTED,REMOVE_OR_REPLACE,ALCEによる引用評価,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13 の表示内容とMarkdown構造は維持し、sentence evidence generatorでnavigation、heading、list-item、table-cellまたはcode-flowの非命題として分類して、命題監査キューから除外する。,codex-wave4-adjudicator,2026-08-15
SENT-0083,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が評価したデータセット、モデル、比較器、指標の範囲では、これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,現文は研究報告または引用元への帰属を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15 の現文を「「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が評価したデータセット、モデル、比較器、指標の範囲では、これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0089,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,現文は実装、評価、運用上の選択を明示する設計規範である。両案の修正文を再検討し、外的効果の断定ではなく規範として確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中の比較について対象dataset、gold evidence、baseline、candidate数、指標、合否閾値を固定し、平均値だけでなく失敗sliceと回帰を記録する。,文中の数値は初期候補であり、dataset、model、index、負荷、言語、業務リスクが変わる場合は再測定して閾値を更新する。,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25 の現文を「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0105,REWRITE_REQUIRED,REWRITE_REQUIRED,REMOVE_OR_REPLACE,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,現文はMarkdownの見出し、索引項目、箇条書きセル、またはコード状の工程列であり、単独の主語・述語を備えた命題ではない。教材上の導線や一覧としては有用だが、証拠要求へ載せると意味を補って捏造するため、本文表示を維持して非命題へ再分類する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14 の表示内容とMarkdown構造は維持し、sentence evidence generatorでnavigation、heading、list-item、table-cellまたはcode-flowの非命題として分類して、命題監査キューから除外する。,codex-wave4-adjudicator,2026-08-15
SENT-0109,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18 の現文を「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0110,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18 の現文を「利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0113,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中の工程順と分岐ごとに入力、出力、責任主体、成功条件、失敗時の遷移をmanifestへ定義し、統合試験で追跡可能性を確認する。,より単純な工程が同じ品質、安全性、遅延、費用、追跡可能性の受入条件を満たす場合は、その代替構成を採用できる。,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:24 の現文を「疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0114,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で、Amazon OpenSearch Serverlessが密検索、疎検索、ハイブリッド検索に対応することを確認できた場合に限り、その機能を採用します。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:25 の現文を「利用時点の対象リージョンの公式仕様で、Amazon OpenSearch Serverlessが密検索、疎検索、ハイブリッド検索に対応することを確認できた場合に限り、その機能を採用します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
