sentence_id,docs_commit,original_sentence,revised_sentence,semantic_proposition,logical_operator,claim_type,modality,scope,primary_source_ids,source_locator,source_claim_role,supported_atoms,unsupported_atoms,unsupported_relation,appropriateness_verdict,verdict_reason,normative_criteria,exceptions,external_truth_level,action,owner,due_date,unblock_condition,lean_theorem,lean_assurance,axiom_audit,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date,review_status
SENT-0014,52bebecfb2a435d0e7ff2efea557c5799674ded6,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。この記述の範囲は、一次資料「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が実際に扱ったデータセット、モデル、比較器、評価指標に限定します。,"AND(AND(AND(AND(ATOM(retrieval=true), ATOM(evidence_support=true)), ATOM(temporal_freshness=true)), ATOM(evaluation=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できます,1.1.3 (docs/1.RAGとは何か/1.1.RAGとは.md:27); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-001,SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,EMPIRICAL_RESULT,NONE_DIRECTLY_VERIFIED,evidence_support=true;temporal_freshness=true,NOT_APPLICABLE,REWRITE_REQUIRED,8軸監査: 権威性=候補資料のみ; 直接性=具体的section/page/API heading未確認; 網羅性=未支持要素「evidence_support=true;temporal_freshness=true」; 主張極性=EMPIRICAL_RESULT候補; スコープ=修正文で一次資料の実験/仕様範囲へ限定; モダリティ=原文以上に強めない; 教材妥当性=現状の無条件な一般化は不可; 形式化妥当性=ANDの主体・条件・否定を保持。元の具体情報を保持した修正文案は作成済みだが、直接locator確認前は採用不可。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,UNVERIFIED,1.1.3 (docs/1.RAGとは何か/1.1.RAGとは.md:27) を「工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。この記述の範囲は、一次資料「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が実際に扱ったデータセット、モデル、比較器、評価指標に限定します。」へ置換する前に、primary_source_idsの具体的section/page/API headingで未支持要素「evidence_support=true;temporal_freshness=true」を照合する。照合できない要素だけを削除し、文を再分割・再形式化する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0023,52bebecfb2a435d0e7ff2efea557c5799674ded6,RAGは、このような検索器の結果を言語モデルへ渡します。,,"AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(empirical_result=true))",AND,general_technical_claim,UNCLASSIFIED,1.2.1 (docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-001,"https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html, Abstract, lines 9–10",DEFINITION_OR_SPEC,retrieval=true;generation=true,NONE,NONE_DIRECTLY_SUPPORTED_OR_NOT_APPLICABLE,APPROPRIATE_SUPPORTED,8軸監査: 権威性=NeurIPS 2020 RAG原著; 直接性=Abstract lines 9–10; 網羅性=neural retrieverでdense indexへアクセスし、retrieved passagesでseq2seq generationをconditionする構成を直接支持; 主張極性=DEFINITION_OR_SPEC; スコープ=LewisらのRAGモデルおよび本書の広義RAG定義; モダリティ=記述的定義であり規範ではない; 教材妥当性=検索結果を生成へ渡す最小説明として妥当; 形式化妥当性=retrievalとgenerationの関係を保存。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,SOURCE_ASSERTED,1.2.1 (docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md:12) の現文を維持し、SRC-001 Abstract lines 9–10へ引用を差し替える。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0037,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,必要,1.3.3 (docs/1.RAGとは何か/1.3.RAGが解決する問題.md:19); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-003,"https://aclanthology.org/2023.emnlp-main.398.pdf, §3.3 Citation Quality, pp. 6467–6468 (PDF pp. 3–4)",DEFINITION_OR_SPEC,citation=true;evaluation=true,NONE,NONE_DIRECTLY_SUPPORTED_OR_NOT_APPLICABLE,APPROPRIATE_SUPPORTED,"8軸監査: 権威性=一次資料（SRC-003）; 直接性=https://aclanthology.org/2023.emnlp-main.398.pdf, §3.3 Citation Quality, pp. 6467–6468 (PDF pp. 3–4); 網羅性=現文の主体・対象・条件を支持; 主張極性=DEFINITION_OR_SPEC; スコープ=資料の対象範囲内; モダリティ=資料と同等以下; 教材妥当性=定義/報告として明確; 形式化妥当性=自然言語上の関係を保存。ALCEはcitation recall（全主張を引用が支持するか）とcitation precision（無関係な引用か）を別指標として定義しており、現文の「正しさ」と「網羅性」の区別を直接支持する。",NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,SOURCE_ASSERTED,"docs/1.RAGとは何か/1.3.RAGが解決する問題.md:19 の現文を維持し、引用を SRC-003 の「https://aclanthology.org/2023.emnlp-main.398.pdf, §3.3 Citation Quality, pp. 6467–6468 (PDF pp. 3–4)」へ固定する。Leanは外的真偽ではなく台帳整合だけを保証する。",rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0081,52bebecfb2a435d0e7ff2efea557c5799674ded6,FEVERによる根拠支持・反証・情報不足の評価,FEVERによる根拠支持・反証・情報不足の評価,"AND(ATOM(evidence_support=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-007,SRC-007 https://aclanthology.org/N18-1074/ — abstract inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NONE_DIRECTLY_VERIFIED,NOT_A_NORMATIVE_CLAIM,NOT_APPLICABLE,REMOVE_OR_REPLACE,8軸監査: 権威性=ナビゲーション/見出しのため対象外; 直接性=リンク先または章位置で再特定可能; 網羅性=単独の主語・述語を持たない; 主張極性=NON_CLAIM; スコープ=1.7.1; モダリティ=なし; 教材妥当性=索引・見出しとして保持可; 形式化妥当性=命題化すると意味を捏造する。原文「FEVERによる根拠支持・反証・情報不足の評価」は本文から削除せず証拠要求分類だけを除外する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:12 は本文で維持し、sentence evidence generatorで navigation/table-label/heading として非命題へ再分類し、678件の証拠要求キューから除外して再生成する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0082,52bebecfb2a435d0e7ff2efea557c5799674ded6,ALCEによる引用評価,ALCEによる引用評価,"AND(ATOM(citation=true), ATOM(evaluation=true))",AND,externally_cited_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-003,SRC-003 https://aclanthology.org/2023.emnlp-main.398/ — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NONE_DIRECTLY_VERIFIED,NOT_A_NORMATIVE_CLAIM,NOT_APPLICABLE,REMOVE_OR_REPLACE,8軸監査: 権威性=ナビゲーション/見出しのため対象外; 直接性=リンク先または章位置で再特定可能; 網羅性=単独の主語・述語を持たない; 主張極性=NON_CLAIM; スコープ=1.7.1; モダリティ=なし; 教材妥当性=索引・見出しとして保持可; 形式化妥当性=命題化すると意味を捏造する。原文「ALCEによる引用評価」は本文から削除せず証拠要求分類だけを除外する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:13 は本文で維持し、sentence evidence generatorで navigation/table-label/heading として非命題へ再分類し、678件の証拠要求キューから除外して再生成する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0083,52bebecfb2a435d0e7ff2efea557c5799674ded6,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。この記述の範囲は、一次資料「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が実際に扱ったデータセット、モデル、比較器、評価指標に限定します。,NL_PROPOSITION(これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。),UNFORMALIZED,empirical_or_research_claim,UNCLASSIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-001;SRC-002;SRC-003;SRC-004;SRC-005,SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-002 https://aclanthology.org/2020.emnlp-main.550/ — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-003 https://aclanthology.org/2023.emnlp-main.398/ — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定,LIMITATION,NONE_DIRECTLY_VERIFIED,UNFORMALIZED_NATURAL_LANGUAGE_CLAIM,UNFORMALIZED,REWRITE_REQUIRED,8軸監査: 権威性=候補資料のみ; 直接性=具体的section/page/API heading未確認; 網羅性=未支持要素「UNFORMALIZED_NATURAL_LANGUAGE_CLAIM」、関係「UNFORMALIZED」; 主張極性=LIMITATION候補; スコープ=修正文で一次資料の実験/仕様範囲へ限定; モダリティ=原文以上に強めない; 教材妥当性=現状の無条件な一般化は不可; 形式化妥当性=UNFORMALIZEDの主体・条件・否定を保持。元の具体情報を保持した修正文案は作成済みだが、直接locator確認前は採用不可。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,UNVERIFIED,1.7.1 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15) を「これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。この記述の範囲は、一次資料「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が実際に扱ったデータセット、モデル、比較器、評価指標に限定します。」へ置換する前に、primary_source_idsの具体的section/page/API headingで未支持要素「UNFORMALIZED_NATURAL_LANGUAGE_CLAIM」を照合する。照合できない要素だけを削除し、文を再分割・再形式化する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0089,52bebecfb2a435d0e7ff2efea557c5799674ded6,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,,"AND(AND(AND(AND(ATOM(temporal_freshness=true), ATOM(ab_testing=true)), ATOM(latency=true)), ATOM(cost=true)), ATOM(empirical_result=true))",AND,empirical_or_research_claim,できる,1.7.2 (docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-001;SRC-002;SRC-043,SRC-001 https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html — primary_page inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-002 https://aclanthology.org/2020.emnlp-main.550/ — abstract inspected 2026-08-15; 現主張への直接locatorは未確定; SRC-043 https://arxiv.org/abs/2004.04906 — abstract inspected 2026-08-15; 現主張への直接locatorは未確定,EMPIRICAL_RESULT,NONE_DIRECTLY_VERIFIED,ab_testing=true;cost=true;empirical_result=true;latency=true;temporal_freshness=true,NOT_APPLICABLE,APPROPRIATE_NORMATIVE,8軸監査: 権威性=著者規範として成立（外的事実の断定ではない）; 直接性=本文内の判断基準を追記する必要あり; 網羅性=対象・条件・例外をcriteriaで補完; 主張極性=AUTHOR_CLAIM; スコープ=1.7.2; モダリティ=推奨/禁止の条件付き規範; 教材妥当性=経験的効果と分離; 形式化妥当性=ANDの前件・後件を観測可能にする。原文「再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。」はこの規範解釈で妥当。,対象データと適用時点を固定する; 実行責任者と観測可能な受入指標を定める; 判断結果を再現可能なtraceへ残す,法令・契約・公式仕様が優先される場合; 対象条件で効果を再現できない場合; 単純な基準構成の方が品質・遅延・費用・安全性の総合基準を満たす場合,NOT_APPLICABLE,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:25 の原文を維持し、同じ段落に判断基準「対象データと適用時点を固定する; 実行責任者と観測可能な受入指標を定める; 判断結果を再現可能なtraceへ残す」と例外「法令・契約・公式仕様が優先される場合; 対象条件で効果を再現できない場合; 単純な基準構成の方が品質・遅延・費用・安全性の総合基準を満たす場合」を追記する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0105,52bebecfb2a435d0e7ff2efea557c5799674ded6,| Managed Knowledge Base | RetrieveまたはAgenticRetrieveStream | RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します | RetrieveAndGenerateは利用しません |,表の「Managed Knowledge Base」行は、「RetrieveまたはAgenticRetrieveStream」、「RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します」、「RetrieveAndGenerateは利用しません」を対応付けます。,"NOT(AND(AND(AND(AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(external_knowledge=true)), ATOM(bedrock_kb=true)), ATOM(retrieve_and_generate=true)), ATOM(empirical_result=true)))",NOT,official_product_contract,UNCLASSIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-178,SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NONE_DIRECTLY_VERIFIED,empirical_result=true;external_knowledge=true,NOT,REWRITE_REQUIRED,8軸監査: 権威性=候補資料のみ; 直接性=不合格; 網羅性=表ヘッダを伴わない行断片では各セルの関係が一意でない; 主張極性=DEFINITION_OR_SPEC; スコープ=10.1.1; モダリティ=修正文で原文以下; 教材妥当性=現状は誤読リスクあり; 形式化妥当性=NOTを文脈込みで再構成する。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,UNVERIFIED,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:14 の原文を次へ置換する: 「表の「Managed Knowledge Base」行は、「RetrieveまたはAgenticRetrieveStream」、「RetrieveまたはAgenticRetrieveStreamの結果をConverseへ渡します」、「RetrieveAndGenerateは利用しません」を対応付けます。」; SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定を確認し、未支持要素「empirical_result=true;external_knowledge=true」と関係「NOT」を直接支持できなければ、その要素だけを削除して再形式化する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0109,52bebecfb2a435d0e7ff2efea557c5799674ded6,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。,,"IMP(AND(AND(ATOM(rerank=true), ATOM(dedup=true)), ATOM(evidence_support=true)), ATOM(retrieval=true))",IMPLIES,official_product_contract,UNCLASSIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-178,SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NONE_DIRECTLY_VERIFIED,dedup=true;evidence_support=true;rerank=true;retrieval=true,IMPLIES,APPROPRIATE_NORMATIVE,8軸監査: 権威性=著者規範として成立（外的事実の断定ではない）; 直接性=本文内の判断基準を追記する必要あり; 網羅性=対象・条件・例外をcriteriaで補完; 主張極性=AUTHOR_CLAIM; スコープ=10.1.1; モダリティ=推奨/禁止の条件付き規範; 教材妥当性=経験的効果と分離; 形式化妥当性=IMPLIESの前件・後件を観測可能にする。原文「重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。」はこの規範解釈で妥当。,対象データと適用時点を固定する; 実行責任者と観測可能な受入指標を定める; 判断結果を再現可能なtraceへ残す; 前件の観測条件と後件の選択を分けて記録する,法令・契約・公式仕様が優先される場合; 対象条件で効果を再現できない場合; 単純な基準構成の方が品質・遅延・費用・安全性の総合基準を満たす場合,NOT_APPLICABLE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18 の原文を維持し、同じ段落に判断基準「対象データと適用時点を固定する; 実行責任者と観測可能な受入指標を定める; 判断結果を再現可能なtraceへ残す; 前件の観測条件と後件の選択を分けて記録する」と例外「法令・契約・公式仕様が優先される場合; 対象条件で効果を再現できない場合; 単純な基準構成の方が品質・遅延・費用・安全性の総合基準を満たす場合」を追記する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
SENT-0110,52bebecfb2a435d0e7ff2efea557c5799674ded6,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。,分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。適用範囲は、2026-08-15時点の公式資料「RetrieveAndGenerate API Reference」が明示するリージョン、API版、接続方式、制限条件に限定します。,"AND(AND(AND(ATOM(retrieval=true), ATOM(external_knowledge=true)), ATOM(evidence_support=true)), ATOM(bedrock_kb=true))",AND,official_product_contract,必要;できる,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18); authoritative docs commit 52bebecfb2a435d0e7ff2efea557c5799674ded6,SRC-178,SRC-178 https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定,DEFINITION_OR_SPEC,NONE_DIRECTLY_VERIFIED,evidence_support=true;external_knowledge=true,NOT_APPLICABLE,REWRITE_REQUIRED,8軸監査: 権威性=候補資料のみ; 直接性=具体的section/page/API heading未確認; 網羅性=未支持要素「evidence_support=true;external_knowledge=true」; 主張極性=DEFINITION_OR_SPEC候補; スコープ=修正文で一次資料の実験/仕様範囲へ限定; モダリティ=原文以上に強めない; 教材妥当性=現状の無条件な一般化は不可; 形式化妥当性=ANDの主体・条件・否定を保持。元の具体情報を保持した修正文案は作成済みだが、直接locator確認前は採用不可。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,UNVERIFIED,10.1.1 (docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:18) を「分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。適用範囲は、2026-08-15時点の公式資料「RetrieveAndGenerate API Reference」が明示するリージョン、API版、接続方式、制限条件に限定します。」へ置換する前に、primary_source_idsの具体的section/page/API headingで未支持要素「evidence_support=true;external_knowledge=true」を照合する。照合できない要素だけを削除し、文を再分割・再形式化する。,rag-guide-maintainers,2026-09-30,NOT_BLOCKED_PRIMARY_PROPOSAL,,INCONCLUSIVE,NOT_APPLICABLE_UNPROVED,codex-primary-wave4,2026-08-15,,,PRIMARY_REVIEW_COMPLETE
