state_id,unit_id,chapter,file,line_start,line_end,heading,summary,technical_elements,source_ids,invariant_ids,scenario_ids,result,finding_ids,review_note
STATE-001,1.1.1,1,docs/1.RAGとは何か/1.1.RAGとは.md,3,10,RAGの定義,# 1.1. RAGとは RAGは、外部の情報源から質問に関係する根拠を取得し、その根拠を条件として言語モデルに回答を生成させる方式です。 [LewisらのRAG研究](https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html)では、言語モデルの内部知識と外部の検索可能な記憶を組み合わせています。 業務システムでは、学習時の方式に限らず、質問時に文書を検索して回答へ渡す構成もRAGと呼びます。 本書もこの実務上の広い意味で扱います。,Dense retrieval,SRC-001,INV-006;INV-008,SCN-008,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-002,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,11,21,最小の処理,RAGは、次の四工程で捉えると全体像を把握できます。 1. **検索前処理**：文書を解析し、検索できる単位へ分けて索引へ登録します。 2. **検索**：質問に関係する根拠候補を集めます。 3. **検索後処理**：候補を選別し、回答に使う根拠を確定します。 4. **生成**：根拠に基づく回答と引用を作り、根拠が足りなければ回答を保留します。 第2章では、この四工程と第3章から第9章の対応を示します。,Grounded generation;Citation,,INV-011;INV-012;INV-014;INV-004;INV-019,SCN-001;SCN-011;SCN-013;SCN-006;SCN-016;SCN-018;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-003,1.1.3,1,docs/1.RAGとは何か/1.1.RAGとは.md,22,27,RAGが提供するもの,RAGを適切に設計すると、情報源の更新、組織固有の情報の利用、引用元の提示、検索と生成の分離評価が可能になります。 回答品質は、登録した資料の鮮度、検索の回収能力、言語モデルによる根拠の利用に左右されます。 RAGの価値は、外部情報を利用し、回答の根拠と失敗箇所を検査できることにあります。工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,Citation,,INV-004;INV-012;INV-019,SCN-001;SCN-006;SCN-011;SCN-016;SCN-018;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-004,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,3,13,三つの方式の比較,# 1.2. LLM単体・検索システム・RAGの違い 同じ質問へ答える場合でも、方式ごとに情報源、出力、適する用途が異なります。 - **LLM単体**は、モデルの学習結果と入力文から回答を生成します。文章作成や一般知識の説明に向き、学習後に変わる情報は入力文で与えます。 - **検索システム**は、検索対象の文書から該当する文書または箇所を返します。原文の確認に向き、複数資料の統合と結論は利用者が行います。 - **RAG**は、検索対象の文書とLLMを組み合わせ、根拠に基づく回答と引用を返します。文書の探索、要約、統合に向き、検索品質、回答品質、引用による支持を一体で評価します。 [Dense Passage Retrieval](https://aclanthology.org/2020.emnlp-main.550/)は、質問に関係する文章を密なベクトル表現で検索できることを示しました。 RAGは、このような検索器の結果を言語モデルへ渡します。,RAG;ACL・認可;Grounded generation;Citation,SRC-002,INV-009;INV-011;INV-012;INV-001;INV-002;INV-003;INV-015;INV-014;INV-004;INV-019,SCN-001;SCN-010;SCN-011;SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-006;SCN-018,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-005,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,14,23,近隣技術との使い分け,**ファインチューニング**は、モデルの振る舞いや出力形式を調整する用途に向きます。 頻繁に変わる事実を更新する目的では、情報源を差し替えられるRAGの方が管理しやすい場合があります。 **長いコンテキスト**は、少数の文書をそのまま入力できる場合に有効です。 文書数が多い場合、権限や鮮度で選別する場合、または検索結果を監査する場合は、RAGと組み合わせます。 **ツール利用**は、データベース照会、計算、状態変更など、文書検索だけでは完結しない処理に使います。 RAGと競合する方式ではなく、処理の種類に応じて併用する方式です。,ACL・認可;Audit・Trace,,INV-001;INV-002;INV-003;INV-015;INV-019;INV-020,SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-018,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-006,1.3.1,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,3,10,更新可能な外部知識,# 1.3. RAGが扱う問題 モデルを再学習せずに検索対象を更新できることが、RAGの基本的な利点です。 規程改訂や製品更新を反映するには、原文、索引、削除、版の切替を一体で管理します。 検索対象を更新しただけでは、回答の鮮度は保証されません。 古い版の除外、更新時刻の記録、索引への反映確認が必要です。,更新・削除・Rollback,,INV-003;INV-017;INV-018;INV-023,SCN-004;SCN-019;SCN-017;SCN-018,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-007,1.3.2,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,11,15,組織固有の情報,一般公開されていない手順、製品仕様、社内の**FAQ（Frequently Asked Questions、よくある質問）**を検索対象にすると、組織固有の質問へ回答できます。 利用者の権限を検索時に適用し、閲覧できない資料を回答や引用へ含めないことが前提です。,ACL・認可;Citation,,INV-001;INV-002;INV-003;INV-015;INV-004;INV-012;INV-019,SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-001;SCN-006;SCN-011;SCN-018,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-008,1.3.3,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,16,23,根拠の確認,回答と原文の対応を保持すると、利用者は結論の出所を確認できます。 [ALCE](https://aclanthology.org/2023.emnlp-main.398/)は、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。 引用番号が付いているだけでは、回答の主張を原文が支持しているとは限りません。 引用先、該当範囲、文書の版を検査できる状態にします。,Metadata・Provenance;ACL・認可;Citation,SRC-003,INV-004;INV-005;INV-019;INV-001;INV-002;INV-003;INV-015;INV-012,SCN-001;SCN-006;SCN-002;SCN-007;SCN-016;SCN-018;SCN-019;SCN-003;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-011,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-009,1.3.4,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,24,29,回答できない質問,根拠が見つからない場合に回答を保留することも、RAGの設計対象です。 [SQuAD 2.0](https://aclanthology.org/P18-2124/)は、回答可能な質問と回答不能な質問を区別する課題を扱いました。 本番システムでは、回答保留、確認質問、担当者への引継ぎを業務に合わせて定めます。,ACL・認可;Answerability・Refusal,SRC-004,INV-001;INV-002;INV-003;INV-015;INV-009;INV-013,SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-001;SCN-010;SCN-012,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-010,1.7.1,1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,3,18,基礎となる研究,# 1.7. RAGを支える研究 RAGは、情報検索と自然言語生成の研究を組み合わせた方式です。 本書の第1章から第8章では、査読付き研究で繰り返し評価され、一般的なRAGにも適用できる次の知識を基礎にします。 - [BM25の確率的検索モデル](https://doi.org/10.1561/1500000019) - [Dense Passage Retrieval](https://aclanthology.org/2020.emnlp-main.550/) - [Retrieval-Augmented Generation](https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html) - [BEIRによる検索方式の横断評価](https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html) - [FEVERによる根拠支持・反証・情報不足の評価](https://aclanthology.org/N18-1074/) - [ALCEによる引用評価](https://aclanthology.org/2023.emnlp-main.398/) これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。 例えば、BEIRは検索方式の優劣がデータセットに,RAG;ACL・認可;Sparse retrieval;Dense retrieval;Citation,SRC-005;SRC-002;SRC-001;SRC-006;SRC-007;SRC-003,INV-009;INV-011;INV-012;INV-001;INV-002;INV-003;INV-015;INV-008;INV-006;INV-004;INV-019,SCN-001;SCN-010;SCN-011;SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-008;SCN-006;SCN-018,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-011,1.7.2,1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,19,25,先進技術の扱い,第9章では、会話検索、長文検索、グラフ検索、マルチモーダル検索、反復検索などを扱います。 掲載対象は、代表研究に一定の引用実績があり、複数の独立した査読付き研究で効果または課題が報告されている技術に限定します。 先進技術は、標準構成より優れているとは限りません。 再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。,Citation;Cost・Routing,,INV-004;INV-012;INV-019;INV-021,SCN-001;SCN-006;SCN-011;SCN-016;SCN-018;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-012,INTRO-1,1,docs/1.RAGとは何か/序文.md,1,19,1. RAGとは何か,**RAG（Retrieval-Augmented Generation、検索拡張生成）**とは、**AI（Artificial Intelligence、人工知能）**が答える前に必要な資料を探し、その資料を根拠にして回答する考え方です。AIの内部知識に加えて、社内規程、製品資料、手順書など、更新と確認が可能な情報を回答に利用します。 情報源、検索、回答、引用を一つのシステムとして管理すると、根拠を確認し、答えられる範囲を示し、誤りの発生箇所を調べられます。回答の正しさは、情報源の管理、工程別の評価、回答後の検証を通じて確かめます。 **この章を読むと決められること**：RAGを採用するか、別の方式を選ぶか、RAGにどこまでの責任を持たせるかを決められます。 本章では、**LLM（Large Language Model、大規模言語モデル）**単体や検索システムとの違い、RAGが解決する問題、適用しやすいケース、別の方式を選ぶケースを整理します。後続章の技術を理解するために、検索、根拠の選別、回答生成、評価がつながる全体像も示します。具体的な構成は[全体アーキテクチャ](../2.アーキテクチャ/序文.md)で確認できます。 **まず覚える5語** - **情報源**：回答の正本として管理する文書やデータです。 - **検索**：質問に関係する根拠候補を集める処理です。 - **根拠**：回答中の主張を支持する、出所を確認できる情報です。 - **引用**：主張から根拠の文書と位置へ戻るための対応です。 - **回答保留**：許可された根拠だけでは答えられないときの正常な出力,RAG;Metadata・Provenance;Answerability・Refusal;Citation,,INV-009;INV-011;INV-012;INV-004;INV-005;INV-019;INV-013,SCN-001;SCN-010;SCN-011;SCN-006;SCN-002;SCN-007;SCN-016;SCN-018;SCN-019;SCN-012,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
