sentence_id,field,current_value,replacement_value,reason
SENT-0083,action,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15 の現文を「「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が評価したデータセット、モデル、比較器、指標の範囲では、これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,docs/1.RAGとは何か/1.7.RAG研究の流れ.md:15 の現文を「本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱いません。」へ置換する。同じ節または設計台帳へnormative_criteriaとexceptionsを実装し、sentence projectionを再抽出する。,actionを規範化後の完成文と受入条件へ同期する。
SENT-0083,appropriateness_verdict,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,現文の内容は外部論文の実験結果ではなく、本ガイドの設計・評価・運用規則またはローカル定義である。単一論文の評価範囲句を外し、観測可能なcriteriaと例外を持つ規範として確定する。
SENT-0083,exceptions,NOT_APPLICABLE_NON_NORMATIVE,対象業務データで同じ指標と比較条件による再現試験を通過した範囲だけは、再現条件を明記して適用できる。,規範の適用外条件を文固有に明示する。
SENT-0083,external_truth_level,UNVERIFIED,NOT_APPLICABLE,外部研究結果の真偽ではなく本ガイドのローカル規範として扱う。
SENT-0083,normative_criteria,NOT_APPLICABLE_NON_NORMATIVE,各研究のデータセット、モデル、比較器、指標、期間を記録し、対象業務との差分が未評価なら効果を一般化しない。,規範を観測可能かつ文固有の受入条件へ落とす。
SENT-0083,revised_sentence,「Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks」（2020年）が評価したデータセット、モデル、比較器、指標の範囲では、これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。,本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱いません。,現文の内容は外部論文の実験結果ではなく、本ガイドの設計・評価・運用規則またはローカル定義である。単一論文の評価範囲句を外し、観測可能なcriteriaと例外を持つ規範として確定する。
SENT-0083,source_claim_role,LIMITATION,AUTHOR_CLAIM,規範化後の主張極性をAUTHOR_CLAIMまたはローカルDEFINITION_OR_SPECへ合わせる。
SENT-0083,unsupported_atoms,UNFORMALIZED_NATURAL_LANGUAGE_CLAIM,,規範は外部事実の未支持atomではなくcriteria/exceptionsで管理する。
SENT-0083,unsupported_relation,UNFORMALIZED,,規範化後の関係はローカル契約としてcriteriaへ移す。
SENT-0083,verdict_reason,現文は研究報告または引用元への帰属を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,現文の内容は外部論文の実験結果ではなく、本ガイドの設計・評価・運用規則またはローカル定義である。単一論文の評価範囲句を外し、観測可能なcriteriaと例外を持つ規範として確定する。,最終判定、意味保存、規範化の根拠を一致させる。
