invariant_id,name_ja,formal_predicate,scope,source_sections,verification
INV-001,認可済み根拠のみ利用,evidenceSelected => aclAllowed,RAG横断,3.5;4.6;5.1;8.1,Quint invariant
INV-002,テナント・セッション分離,evidenceSelected => tenantMatches,RAG横断,6.7;8.1;9.2,Quint invariant
INV-003,削除・権限剥奪の伝播,evidenceSelected => !deleted,RAG横断,3.2;3.7;8.1;8.7,Quint invariant
INV-004,来歴の保持,evidenceSelected => provenanceOk,RAG横断,3.5;5.5;6.4;8.4,Quint invariant
INV-005,時点と版の整合,evidenceSelected => validAtQuestionTime,RAG横断,3.1;5.1;5.7;8.7,Quint invariant
INV-006,埋め込み・索引互換性,evidenceSelected => embeddingCompatible,RAG横断,3.6;3.7;4.4,Quint invariant
INV-007,質問意図の保存,evidenceSelected => queryIntentPreserved,RAG横断,4.1;4.2;9.2,Quint invariant
INV-008,Candidate identityと重複一貫性,同一candidate IDを全工程で維持,検索・検索後処理,4.5;4.6;5.1;5.2,静的レビュー
INV-009,Evidence sufficiency,claimCommitted => evidenceSufficient,検索後処理・生成,5.5;5.8;6.3,Quint invariant（判定関数は要具体化）
INV-010,矛盾の開示,競合下の回答 => conflictDisclosed,検索後処理・生成,5.7;6.1;6.3;6.5,Quint invariant
INV-011,根拠付き主張,claimCommitted => grounded,生成,6.1;6.5;6.6;7.6,Quint invariant
INV-012,引用の正しさ,claimCommitted => citationsValid,生成,5.5;6.4;7.6,Quint invariant
INV-013,回答可能性と保留,不十分または重大競合 => claimCommitted=false,生成,5.8;6.3;6.6,Quint scenario
INV-014,命令と参照データの分離,retrievedInstructionだけではtoolExecutedにならない,生成・安全,6.1;8.3;9.9,Quint invariant
INV-015,ツール認可の分離,toolExecuted => userRequestedTool && toolPolicyAllows,業務実行,6.8;8.1;9.9,Quint invariant
INV-016,副作用操作の承認,toolExecuted && !toolReadOnly => humanApproved,業務実行,6.8;8.1;9.9,Quint invariant（適用範囲は要明確化）
INV-017,公開前ゲート,published => releaseGatePassed,公開・運用,3.8;7.8;8.7,Quint invariant
INV-018,安全な切り戻し,lastKnownGoodRelease <= currentRelease,公開・運用,3.7;3.8;7.8;8.7,Quint invariant
INV-019,監査トレース,重要出力 => auditLinked,RAG横断,4.6;6.6;8.4;9.9,Quint invariant
INV-020,再現可能な評価,結果はsnapshot・構成版・dataset版へ結合,評価,7.1-7.10;8.4,静的レビュー
INV-021,予算・可用性境界,期限・回数・費用上限を超えて自動継続しない,運用・Agentic,8.5;8.6;9.9,シナリオレビュー
INV-022,入力・成果物契約,schema不適合の成果物は次工程へ渡さない,取り込み・出力,3.2;3.3;3.8;6.2,静的レビュー
INV-023,冪等な更新と再試行,同一イベント再処理で副作用を重複させない,取り込み・ツール,3.2;6.8;8.7;9.9,シナリオレビュー
INV-024,データ最小化,目的外・期限超過・権限外データを保持しない,プライバシー,6.7;8.2;8.4,静的レビュー
INV-025,境界付き高度化,失敗パターン・停止条件・fallbackなしに高度化しない,高度なRAG,9.1-9.11,静的レビュー
