sentence_id,original_sentence,primary_verdict,independent_verdict,reconciliation_decision,reconciliation_reason,final_verdict,final_revised_sentence,final_source_ids,final_source_locator,final_source_claim_role,final_external_truth_level,verified_on,reconciled_by
SENT-0023,RAGは、このような検索器の結果を言語モデルへ渡します。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,RAG原著Abstractが、取得文書を生成器の条件として用いる構成を直接記述しており、原文の検索結果を言語モデルへ渡す関係を支持する。,APPROPRIATE_SUPPORTED,,SRC-001,"https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html, Abstract, lines 9–10",DEFINITION_OR_SPEC,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-0037,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,APPROPRIATE_SUPPORTED,APPROPRIATE_SUPPORTED,APPROVE_PRIMARY,ALCE §3.3がcitation recall（要引用主張の被覆）とcitation precision/correctnessを別指標として定義しており、原文の二分を直接支持する。,APPROPRIATE_SUPPORTED,,SRC-003,"https://aclanthology.org/2023.emnlp-main.398.pdf, §3.3 Citation Quality, pp. 6467–6468 (PDF pp. 3–4)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-0153,Knowledge BasesとS3 Vectorsを組み合わせる場合、custom metadataはvector当たり1 KB、35 keyまでです。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,AWS公式S3 Vectors–Bedrock Knowledge Bases統合のLimitationsに、non-filterable custom metadata 1 KB/vectorおよび最大35 metadata keysが明記されている。,APPROPRIATE_SUPPORTED,,NEW-SRC-AWS-BEDROCK-S3V-LIMITS,"https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html, “Limitations” > “S3 Vectors size limits”",DEFINITION_OR_SPEC,OFFICIAL_SPEC,2026-08-15,codex-independent-wave4
SENT-0197,S3 Vectorsはdense vectorによるsemantic searchとmetadata filterを提供し、BM25などのsparse searchは提供しません。,APPROPRIATE_AFTER_QUALIFICATION,APPROPRIATE_SUPPORTED,APPROVE_PRIMARY,AWS公式LimitationsがBedrock Knowledge Bases + S3 Vectorsをsemantic search only、hybrid search非対応と明記し、Querying vectorsとMetadata filteringが肯定部分を直接支える。BM25不提供という広い否定を公式表現へ限定した主案が妥当。,APPROPRIATE_AFTER_QUALIFICATION,Bedrock Knowledge BasesでS3 Vectorsを使う構成はsemantic searchとmetadata filterに対応し、hybrid searchには対応しません。,NEW-SRC-AWS-S3V-KB-LIMITS;NEW-SRC-AWS-S3V-QUERY;NEW-SRC-AWS-S3V-METADATA,"https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html, “Limitations” > “Semantic search only”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-query.html, “Querying vectors”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-metadata-filtering.html, “Metadata filtering”",DEFINITION_OR_SPEC,OFFICIAL_SPEC,2026-08-15,codex-independent-wave4
SENT-0432,Prompt injection（プロンプトインジェクション）は、検索された文書内の命令を生成モデルが実行すべき指示として解釈する問題です。,APPROPRIATE_SUPPORTED,APPROPRIATE_NORMATIVE,MODIFIED,一次資料が直接定義するのは広義のprompt injectionではなく、取得され得る外部データに命令を埋めるindirect prompt injectionである。攻撃種別を限定すれば直接支持される。,APPROPRIATE_AFTER_QUALIFICATION,間接プロンプトインジェクションは、検索された文書などの外部データに埋め込まれた命令を、LLM統合アプリが指示として処理してしまう攻撃です。,NEW-SRC-GRESHAKE-2023,"https://arxiv.org/abs/2302.12173, Abstract, lines 16–19 (prompts injected into data likely to be retrieved; manipulation of LLM-integrated applications)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1036,DPRでは、同じ一括処理内の別文書を負例にし、BM25が上位にした誤文書を難しい負例として利用しました。,APPROPRIATE_SUPPORTED,APPROPRIATE_SUPPORTED,APPROVE_PRIMARY,DPR §3.2が同一batch内の他例のpositive passageをnegativeとして用いること、§5.2がBM25上位の非gold passageをhard negativeとして用いることを直接記述する。,APPROPRIATE_SUPPORTED,,SRC-002,"https://aclanthology.org/2020.emnlp-main.550.pdf, §3.2 Training, pp. 6771–6772 (PDF pp. 2–3), lines 262–285; §5.2, p. 6774 (PDF p. 5), lines 477–502",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1274,Query Resolution for Conversational Searchは、会話中の質問へ必要な情報を補う方法を扱いました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Query Resolution原著Abstractが、会話文脈を利用してunderspecifiedな現在質問をより完全に表現する問題を扱うと明記し、『必要な情報を補う』を支持する。,APPROPRIATE_SUPPORTED,,SRC-057,"https://arxiv.org/abs/2005.11723, Abstract, lines 15–18",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1438,IRCoTが扱った複数段階の質問では、途中で得た根拠が次の検索文へ影響します。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,IRCoT Abstractが、次に何を取得すべきかは既取得・既導出情報に依存すると述べ、retrievalとchain-of-thoughtの交互実行を直接支持する。,APPROPRIATE_SUPPORTED,,SRC-060,"https://aclanthology.org/2023.acl-long.557/, Abstract, lines 59–61",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1569,DPRは、同じ一括処理内の別文書を負例にするバッチ内負例（In-batch negative）と、BM25が上位へ返した誤文書を難しい負例（Hard negative）として利用しました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,DPR §3.2と§5.2がin-batch negativesとBM25 hard negativesをそれぞれ直接定義・使用しており、原文の両atomを支持する。,APPROPRIATE_SUPPORTED,,SRC-002,"https://aclanthology.org/2020.emnlp-main.550.pdf, §3.2 Training, pp. 6771–6772 (PDF pp. 2–3), lines 262–285; §5.2, p. 6774 (PDF p. 5), lines 477–502",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1582,Contrieverは、人手の関連度ラベルを使わない学習で候補を広く拾う方法を示しました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Contriever Abstractが人手関連度ラベルなしのcontrastive trainingとBEIR Recall@100での結果を報告するため、『人手ラベルを使わず候補を広く拾う』という要約を支持する。,APPROPRIATE_SUPPORTED,,SRC-074,"https://arxiv.org/abs/2112.09118, Abstract, lines 15–19",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
