source_id,title,url,trust_tier,inspection_status,evidence_scope,formal_atoms,projection_summary,retrieval_date,notes,source_formula,lean_symbol,projection_adequacy,projection_review_scope,projection_reviewer,projection_review_date,truth_boundary
SRC-001,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,A,PRIMARY_PAGE_INSPECTED,primary_page,empirical_result=true;evaluation=true;external_knowledge=true;generation=true;knowledge_intensive=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;retrieval=true;verification=true,"Controlled projection: rag=true, retrieval=true, generation=true, external_knowledge=true, parametric_memory=true, nonparametric_memory=true, knowledge_intensive=true, open_domain_qa=true, verification=true, evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(empirical_result=true, evaluation=true, external_knowledge=true, generation=true, knowledge_intensive=true, nonparametric_memory=true, open_domain_qa=true, parametric_memory=true, rag=true, retrieval=true, verification=true)",SRC_001_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-002,Dense Passage Retrieval for Open-Domain Question Answering,https://aclanthology.org/2020.emnlp-main.550/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,benchmark=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;length_normalization=true;lexical=true;open_domain_qa=true;recall_metric=true;retrieval=true;similarity=dot_product;tf_saturation=true;verification=true,"Controlled projection: retrieval=true, open_domain_qa=true, verification=true, dense=true, lexical=true, document_statistics=true, tf_saturation=true, length_normalization=true, dual_encoder=true, evaluation=true, benchmark=true, recall_metric=true, empirical_result=true, similarity=dot_product",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(benchmark=true, dense=true, document_statistics=true, dual_encoder=true, empirical_result=true, evaluation=true, length_normalization=true, lexical=true, open_domain_qa=true, recall_metric=true, retrieval=true, similarity=dot_product, tf_saturation=true, verification=true)",SRC_002_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-003,Enabling Large Language Models to Generate Text with Citations,https://aclanthology.org/2023.emnlp-main.398/,A,PRIMARY_PAGE_INSPECTED,primary_page,citation=true;generation=true;retrieval=true,"Controlled projection: retrieval=true, generation=true, citation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(citation=true, generation=true, retrieval=true)",SRC_003_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-004,Know What You Don’t Know: Unanswerable Questions for SQuAD,https://aclanthology.org/P18-2124/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,answerability=true;generation=true;unanswerable=true;verification=true,"Controlled projection: generation=true, verification=true, unanswerable=true, answerability=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(answerability=true, generation=true, unanswerable=true, verification=true)",SRC_004_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-005,The Probabilistic Relevance Framework: BM25 and Beyond,https://doi.org/10.1561/1500000019,A,PRIMARY_PAGE_INSPECTED,primary_page,document_statistics=true;evidence_support=true;fielded=true;length_normalization=true;lexical=true;retrieval=true;sparse=true;tf_saturation=true,"Controlled projection: retrieval=true, evidence_support=true, tf_saturation=true, length_normalization=true, document_statistics=true, fielded=true, lexical=true, sparse=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(document_statistics=true, evidence_support=true, fielded=true, length_normalization=true, lexical=true, retrieval=true, sparse=true, tf_saturation=true)",SRC_005_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-006,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,A,PRIMARY_PAGE_INSPECTED,primary_page,benchmark=true;evaluation=true;retrieval=true,"Controlled projection: retrieval=true, evaluation=true, benchmark=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(benchmark=true, evaluation=true, retrieval=true)",SRC_006_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-007,FEVER: a Large-scale Dataset for Fact Extraction and VERification,https://aclanthology.org/N18-1074/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,benchmark=true;evidence_support=true;generation=true;verification=true,"Controlled projection: generation=true, verification=true, evidence_support=true, benchmark=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(benchmark=true, evidence_support=true, generation=true, verification=true)",SRC_007_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-008,A Survey on Retrieval-Augmented Text Generation for Large Language Models,https://doi.org/10.1145/3805774,A,PRIMARY_PAGE_INSPECTED,primary_page,generation=true;rag=true;retrieval=true,"Controlled projection: rag=true, retrieval=true, generation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(generation=true, rag=true, retrieval=true)",SRC_008_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-009,"“Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI",https://dl.acm.org/doi/10.1145/3411764.3445518,A,PRIMARY_PAGE_INSPECTED,primary_page,data_quality=true,Controlled projection: data_quality=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,AND(data_quality=true),SRC_009_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-010,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,B,PRIMARY_ABSTRACT_INSPECTED,abstract,dataset_documentation=true;retrieval=true,"Controlled projection: retrieval=true, dataset_documentation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(dataset_documentation=true, retrieval=true)",SRC_010_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-011,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,https://aclanthology.org/Q18-1041/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,dataset_documentation=true;verification=true,"Controlled projection: verification=true, dataset_documentation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(dataset_documentation=true, verification=true)",SRC_011_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-012,It's About Time: Incorporating Temporality in Retrieval Augmented Language Models,https://arxiv.org/abs/2401.13222,B,PRIMARY_PAGE_INSPECTED,primary_page,generation=true;rag=true;retrieval=true;temporal_freshness=true,"Controlled projection: rag=true, retrieval=true, generation=true, temporal_freshness=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(generation=true, rag=true, retrieval=true, temporal_freshness=true)",SRC_012_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-013,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,https://arxiv.org/abs/2310.03214,B,PRIMARY_ABSTRACT_INSPECTED,abstract,benchmark=true;empirical_result=true;evaluation=true;evidence_support=true;factuality=true;generation=true;hallucination=true;human_evaluation=true;retrieval=true;temporal_freshness=true,"Controlled projection: retrieval=true, generation=true, factuality=true, hallucination=true, evidence_support=true, temporal_freshness=true, evaluation=true, benchmark=true, human_evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(benchmark=true, empirical_result=true, evaluation=true, evidence_support=true, factuality=true, generation=true, hallucination=true, human_evaluation=true, retrieval=true, temporal_freshness=true)",SRC_013_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-014,On the resemblance and containment of documents,https://ieeexplore.ieee.org/document/666900,A,PRIMARY_PAGE_INSPECTED,primary_page,dedup=true;verification=true,"Controlled projection: verification=true, dedup=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(dedup=true, verification=true)",SRC_014_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-015,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",https://arxiv.org/abs/2205.00445,B,PRIMARY_ABSTRACT_INSPECTED,abstract,external_knowledge=true;generation=true;modular=true;retrieval=true,"Controlled projection: retrieval=true, generation=true, external_knowledge=true, modular=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(external_knowledge=true, generation=true, modular=true, retrieval=true)",SRC_015_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-016,Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing,https://arxiv.org/abs/2001.00973,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true,Controlled projection: retrieval=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,AND(retrieval=true),SRC_016_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-017,The ML Test Score: A Rubric for ML Production Readiness and Technical Debt Reduction,https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction/,B,PRIMARY_PAGE_INSPECTED,primary_page,empirical_result=true;evaluation=true;retrieval=true,"Controlled projection: retrieval=true, evaluation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(empirical_result=true, evaluation=true, retrieval=true)",SRC_017_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-018,"FlumeJava: Easy, Efficient Data-Parallel Pipelines",https://research.google/pubs/flumejava-easy-efficient-data-parallel-pipelines/,B,PRIMARY_PAGE_INSPECTED,primary_page,dataflow=true;evaluation=true;retrieval=true,"Controlled projection: retrieval=true, evaluation=true, dataflow=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(dataflow=true, evaluation=true, retrieval=true)",SRC_018_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
SRC-019,Data Validation for Machine Learning,https://research.google/pubs/data-validation-for-machine-learning/,B,PRIMARY_PAGE_INSPECTED,primary_page,data_quality=true;evidence_support=true;retrieval=true,"Controlled projection: retrieval=true, evidence_support=true, data_quality=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.,"AND(data_quality=true, evidence_support=true, retrieval=true)",SRC_019_sourceTheorem,CURATED_CLAIM_POLARITY_PROJECTION,原著タイトル・要旨で著者自身の提案または結果として述べる肯定命題,OpenAI Codex,2026-08-15 JST,The source summary is a formal premise; publication does not make its external-world claim a Lean theorem.
