metric_id,metric,numerator,denominator,coverage_percent,interpretation
LIT-COV-001,一次資料要旨・仕様ページ検査,201,201,100.0,201件の信頼できる一次資料ページを検査
LIT-COV-002,公式Abstractを直接検査,128,201,63.68,Abstractが明示された一次資料
LIT-COV-003,センテンス論理式分解,869,1022,85.03,Atom/AND/OR/IMPLIES/NOTへ分解できた根拠必須文
LIT-COV-004,一次資料候補割当,1022,1022,100.0,直接・節・ファイル・章スコープの候補を持つ文
LIT-COV-005,既存直接マッピング,1022,1022,100.0,既存の直接・段落・具体技術マッピング
LIT-COV-006,文献要旨からの条件付き論理証明,331,1022,32.39,source-summary factsからguide formulaをLeanで導出
LIT-COV-007,関係構造未証明,180,1022,17.61,含意・否定の関係を要旨atomだけでは保存できない文
LIT-COV-008,自然言語込みEnd-to-End証明,0,1022,0.0,バイリンガル意味写像の独立レビュー未完了のため0
LIT-COV-009,一次資料命題の主張極性レビュー,201,201,100.0,原著の主張と比較対象・背景言及を区別したレビュー台帳
LIT-COV-010,条件付き論理未証明文の最終判定,691,691,100.0,受入・限定付き受入とモデル境界を文ごとに記録
