sentence_id,field,current_value,replacement_value,reason
SENT-0014,verdict_reason,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。 判断対象は、本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断することに限定した修正です。現文のevidence_support=true;temporal_freshness=trueと関係NOT_APPLICABLEには、候補資料は記録されていますが、現主張を再特定する直接locatorは未確定です。修正後は次の文とします。本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。 この限定で主体・対象・条件を保ちながら未確認の一般化または因果を除くため、REWRITE_REQUIREDと判定します。,proceedings.neurips.ccのAbstractへの参照は台帳にありますが、evidence_support、temporal_freshnessについて各要素と結論との直接の対応まで同時に再特定できる直接箇所が確定していません。本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断するという範囲まで対象と条件を絞り、未確認の効果や一般化を実験結果のように読ませない文面にします。 修正文にある主体と操作対象は保ちつつ、直接根拠を越える各要素と結論との直接の対応を落とす差分なので、REWRITE_REQUIREDと判定します。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0083,verdict_reason,これらの研究も、すべてのデータや業務で同じ効果を保証しているわけではありません。 判断対象は、本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱わないことを定めるローカル設計規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。各研究のデータセット、モデル、比較器、指標、期間を記録し、対象業務との差分が未評価なら効果を一般化しない。 適用除外は次の場合に限定します。対象業務データで同じ指標と比較条件による再現試験を通過した範囲だけは、再現条件を明記して適用できる。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,本ガイドでは、本節で取り上げた研究結果を、すべてのデータや業務で同じ効果を保証する根拠として扱わないという運用要件は、実行時の判断を担当者ごとにぶらさないためのローカル規則です。各研究のデータセット、モデル、比較器、指標、期間を記録し、対象業務との差分が未評価なら効果を一般化しない。 さらに、対象業務データで同じ指標と比較条件による再現試験を通過した範囲だけは、再現条件を明記して適用できる。 この扱いを例外として記録します。 実装結果と例外発生時の扱いを個別に検査できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0089,verdict_reason,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めます。 判断対象は、再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めることを定める評価・採否規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めることを定める評価・採否規則について、本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。 適用除外は次の場合に限定します。再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めることを定める評価・採否規則の例外として、この比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,再現できる失敗に対して比較実験を行い、品質、応答時間、費用、安全性の総合結果で採否を決めるという採否判断は、比較対象と合格条件を実行結果で識別するために置きます。本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。 さらに、この比較で品質やcostが改善しても、安全性またはauthorizationの必須条件を悪化させるcandidateは採用しない。 この扱いを例外として記録します。 同じ条件での比較と採用しない条件を両方記録できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0109,verdict_reason,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。 判断対象は、重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けることを定める検索・経路選択規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けることを定める検索・経路選択規則について、この規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。 適用除外は次の場合に限定します。重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けることを定める検索・経路選択規則の例外として、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けるという検索経路は、候補の収集・統合・選択を再現可能にするガイド内の決定です。この規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。 適用境界では、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 検索結果の合格条件と別経路へ切り替える条件が検査できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0113,verdict_reason,疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。 判断対象は、疎検索が必要な構成では、別の検索器と結果統合を組み合わせることを定める検索・経路選択規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。疎検索が必要な構成では、別の検索器と結果統合を組み合わせることを定める検索・経路選択規則について、この規則の統合規則をversion管理し、複数retrieverが返す既知rank listから期待するcandidate順序を再現し、生scoreの無条件加算や重複candidateが発生しないことを確認する。 適用除外は次の場合に限定します。疎検索が必要な構成では、別の検索器と結果統合を組み合わせることを定める検索・経路選択規則の例外として、この規則と異なる統合方式はcalibration済みscoreまたは別rerankerとしてversion管理できるが、未調整の異尺度scoreを黙って直接加算しない。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,疎検索が必要な構成では、別の検索器と結果統合を組み合わせるという検索経路は、候補の収集・統合・選択を再現可能にするガイド内の決定です。この規則の統合規則をversion管理し、複数retrieverが返す既知rank listから期待するcandidate順序を再現し、生scoreの無条件加算や重複candidateが発生しないことを確認する。 さらに、この規則と異なる統合方式はcalibration済みscoreまたは別rerankerとしてversion管理できるが、未調整の異尺度scoreを黙って直接加算しない。 この扱いを例外として記録します。 検索結果の合格条件と別経路へ切り替える条件が検査できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0116,verdict_reason,Amazon Aurora PostgreSQLは、密検索とrelational dataを近い境界で管理できます。 検証対象として Amazon Aurora PostgreSQLを使う構成では／dense vectorとrelational dataを同じdatabase境界で管理できます。対応versionとvector機能は利用時点の公式仕様で確認します を区別し、この文が断定する aurora_pg=true と関係 NOT_APPLICABLE について、資料候補の記録は SRC-179 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定 ですが、現主張を再特定する直接locatorは未確定です。そこで主体・対象・条件を保った Amazon Aurora PostgreSQLを使う構成では、dense vectorとrelational dataを同じdatabase境界で管理できます。対応versionとvector機能は利用時点の公式仕様で確認します。 へ変更し、未確認の一般化または因果を本文から外すためREWRITE_REQUIREDと判定します。,docs.aws.amazon.comの公式仕様ページへの参照は台帳にありますが、aurora_pgについて各要素と結論との直接の対応まで同時に再特定できる直接箇所が確定していません。本文に残すのは、Amazon Aurora PostgreSQLを使う構成では、dense vectorとrelational dataを同じdatabase境界で管理できます。対応versionとvector機能は利用時点の公式仕様で確認するという対象範囲です。aurora_pgについて未確認の因果までは導きません。 修正文にある主体と操作対象は保ちつつ、直接根拠を越える各要素と結論との直接の対応を落とす差分なので、REWRITE_REQUIREDと判定します。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0117,verdict_reason,Knowledge Basesのhybrid searchは、filterableなtext fieldを構成し、対象リージョンと接続方式が対応している場合に利用します。 判断対象は、Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用することを定める構成・設定規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用することを定める構成・設定規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。 適用除外は次の場合に限定します。Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用することを定める構成・設定規則の例外として、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用するという構成契約は、対象versionと実装の不一致を公開前に止めるための要件です。この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。 適用境界では、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 実際の接続結果と仕様変更時の切替条件を確認できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0124,verdict_reason,Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない場合があります。 検証対象として Knowledge Basesのhybrid searchについては／AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない差異を想定し／実装時は採用するAPIの公式仕様と実行結果を一致させます を区別し、この文が断定する bedrock_kb=true;external_knowledge=true と関係 NOT について、資料候補の記録は SRC-179 https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html — official_spec_page inspected 2026-08-15; 現主張への直接locatorは未確定 ですが、現主張を再特定する直接locatorは未確定です。そこで主体・対象・条件を保った Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない差異を想定し、実装時は採用するAPIの公式仕様と実行結果を一致させます。 へ変更し、未確認の一般化または因果を本文から外すためREWRITE_REQUIREDと判定します。,docs.aws.amazon.comの公式仕様ページへの参照は台帳にありますが、bedrock_kb、external_knowledgeについて否定関係まで同時に再特定できる直接箇所が確定していません。本文に残すのは、Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない差異を想定し、実装時は採用するAPIの公式仕様と実行結果を一致させるという対象範囲です。bedrock_kb、external_knowledgeについて未確認の因果までは導きません。 修正文にある主体と操作対象は保ちつつ、直接根拠を越える否定関係を落とす差分なので、REWRITE_REQUIREDと判定します。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0131,verdict_reason,固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進みます。 判断対象は、固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進むことを定める検索・経路選択規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進むことを定める検索・経路選択規則について、この規則で指定した検索経路と分岐条件をtraceへ記録し、条件を満たすfixtureと満たさないfixtureで、選択retriever、candidate集合、fallback先が期待値に一致することを確認する。 適用除外は次の場合に限定します。固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進むことを定める検索・経路選択規則の例外として、この規則より単純な経路が同じ品質・安全性・latency・costのgateを満たす場合は代替できるが、分岐、fallback、artifact provenanceを失う省略は行わない。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進むという検索経路は、候補の収集・統合・選択を再現可能にするガイド内の決定です。この規則で指定した検索経路と分岐条件をtraceへ記録し、条件を満たすfixtureと満たさないfixtureで、選択retriever、candidate集合、fallback先が期待値に一致することを確認する。 適用境界では、この規則より単純な経路が同じ品質・安全性・latency・costのgateを満たす場合は代替できるが、分岐、fallback、artifact provenanceを失う省略は行わない。 検索結果の合格条件と別経路へ切り替える条件が検査できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0137,verdict_reason,日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めます。 判断対象は、日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めることを定める評価・採否規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めることを定める評価・採否規則について、この規則に挙げたmodelまたはserviceを同一の日本語gold query、document version、candidate数で実行し、Recallとlatencyを比較して採否を記録する。 適用除外は次の場合に限定します。日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めることを定める評価・採否規則の例外として、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めるという採否判断は、比較対象と合格条件を実行結果で識別するために置きます。この規則に挙げたmodelまたはserviceを同一の日本語gold query、document version、candidate数で実行し、Recallとlatencyを比較して採否を記録する。 適用境界では、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 同じ条件での比較と採用しない条件を両方記録できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
SENT-0138,verdict_reason,Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較します。 判断対象は、Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較することを定める評価・採否規則です。外部資料から一般的な効果を導くのではなく、次の検査を受入条件とします。Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較することを定める評価・採否規則について、この規則に挙げたmodelまたはserviceを同一の日本語gold query、document version、candidate数で実行し、Recallとlatencyを比較して採否を記録する。 適用除外は次の場合に限定します。Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較することを定める評価・採否規則の例外として、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 受入条件と例外境界を台帳で検査できるため、APPROPRIATE_NORMATIVEと判定します。,Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較するという採否判断は、比較対象と合格条件を実行結果で識別するために置きます。この規則に挙げたmodelまたはserviceを同一の日本語gold query、document version、candidate数で実行し、Recallとlatencyを比較して採否を記録する。 適用境界では、対象service/APIが対象region/versionで非対応または仕様変更済みの場合はその構成を有効化せず、対応機能へ切り替えて同じintegration testを再実行する。 同じ条件での比較と採用しない条件を両方記録できるため、APPROPRIATE_NORMATIVEです。,規範の受入挙動と例外、または未支持atom・関係・locator境界を文固有の論拠として説明し、共通scaffoldで理由を代替しない。
