sentence_id,field,current_value,replacement_value,reason
SENT-0177,normative_criteria,検証対象は次の条件です: 対象document数／生成chunk数／parse失敗／metadata欠損／削除反映／固定queryのRecallを記録し／Publish前ゲートとPre-retrieval・Batch評価の基準を満たしたindexだけを検索先にします。当該規則で列挙した記録項目を同じrun IDへ保存し、各項目が欠損せず、変更前後の差分をquestionまたはdocument単位で逆引きできることを確認する。,index候補ごとに対象document数、生成chunk数、parse失敗数、metadata欠損数、削除反映件数、固定queryのRecallを同じrun IDへ記録し、Publish前ゲートとPre-retrieval・Batch評価の双方を通過したindexだけを検索先に設定する。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-0177,exceptions,例外判断で参照する条件は次のとおりです: 対象document数／生成chunk数／parse失敗／metadata欠損／削除反映／固定queryのRecallを記録し／Publish前ゲートとPre-retrieval・Batch評価の基準を満たしたindexだけを検索先にします。当該規則を評価するgold evidenceがないslice、標本不足のslice、負荷条件が異なるrunは合否集計から分離し、他sliceの平均結果を外挿しない。,gold evidenceが不足するquery sliceまたは必要標本数に達しないrunは合否集計から分離し、評価不能な項目を他sliceの平均値で補わず、検索先への切替を保留する。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-0594,revised_sentence,,取得要求が成功しても正常取り込みとは判断せず、schema、record count、必須metadata、本文非空、重複率を検査します。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-0594,verdict_reason,Data Validation for Machine Learningがデータの異常とスキーマ変化を検出する枠組みを扱ったように、取得要求が成功したという通信結果だけで正常と判断しないという運用要件は、実行時の判断を担当者ごとにぶらさないためのローカル規則です。取得要求がHTTP成功でも、schema、record count、必須metadata、本文非空、重複率の検査を通過しなければ正常取り込みとせず、対象batchを隔離する。 適用境界では、検査基盤自体が停止した場合は通信成功だけで公開せず、batchを保留して検査復旧後に再実行する。 実装結果と例外発生時の扱いを個別に検査できるため、APPROPRIATE_NORMATIVEです。,HTTP応答の成功と、取り込んだ知識成果物が利用可能であることは別の判定です。本ガイドの正常取り込みはschema、record count、必須metadata、本文非空、重複率の全検査を通過した状態と定義し、検査基盤が停止したbatchは公開せず保留します。このローカル受入条件へ明示的に直すため、APPROPRIATE_NORMATIVEです。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-1827,verdict_reason,添付、コメント、埋め込み資料が親文書と異なるACLを持つ場合は、例外関係として明示すという安全境界は、本ガイドが強制する制御として設けます。この規則の対象resourceとattributeをauthorization fixtureへ登録し、許可主体では取得・利用でき、非許可主体ではcandidate、context、answerの全段階でゼロ件になることを確認する。 適用境界では、この規則より法令、契約、組織policyが厳しい場合は厳しい統制を優先し、性能、可用性、費用を理由に対象resourceのauthorizationまたは隔離を省略しない。 負試験で境界を確かめ、統制を緩めない例外を明示できるので、APPROPRIATE_NORMATIVEです。,添付、コメント、埋め込み資料が親文書と異なるACLを持つ場合は、例外関係として明示するという安全境界は、本ガイドが強制する制御として設けます。この規則の対象resourceとattributeをauthorization fixtureへ登録し、許可主体では取得・利用でき、非許可主体ではcandidate、context、answerの全段階でゼロ件になることを確認する。 適用境界では、この規則より法令、契約、組織policyが厳しい場合は厳しい統制を優先し、性能、可用性、費用を理由に対象resourceのauthorizationまたは隔離を省略しない。 負試験で境界を確かめ、統制を緩めない例外を明示できるので、APPROPRIATE_NORMATIVEです。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-2580,revised_sentence,,RAGでは、公開前に知識成果物のschemaと分布の異常を検査します。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-2580,verdict_reason,Data Validation for Machine Learningが機械学習パイプラインの入口でスキーマや分布の異常を検出するように、RAGでも公開前に知識成果物を検査するという運用要件は、実行時の判断を担当者ごとにぶらさないためのローカル規則です。当該規則の工程ごとに入力artifact、出力artifact、version、成功状態をmanifestへ定義し、正常系と途中失敗系の統合試験で工程順と停止位置を確認する。 適用境界では、この規則より単純な経路が同じ品質・安全性・latency・costのgateを満たす場合は代替できるが、分岐、fallback、artifact provenanceを失う省略は行わない。 実装結果と例外発生時の扱いを個別に検査できるため、APPROPRIATE_NORMATIVEです。,公開前検査の対象をRAGの知識成果物に限定すれば、外部枠組みの挙動を根拠なしに説明する必要はありません。成果物のschemaと分布を検査し、manifestに記録した成功条件を満たさない成果物は公開工程へ進めない規則として扱います。外部資料の記述ではなく観測可能な公開gateへ直すため、APPROPRIATE_NORMATIVEです。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-2580,normative_criteria,検証対象は次の条件です: Data Validation for Machine Learningが機械学習パイプラインの入口でスキーマや分布の異常を検出するように／RAGでも公開前に知識成果物を検査します。当該規則の工程ごとに入力artifact、出力artifact、version、成功状態をmanifestへ定義し、正常系と途中失敗系の統合試験で工程順と停止位置を確認する。,知識成果物のschema必須field、型、件数、欠損率、値分布の許容範囲をrelease manifestへ定義し、公開候補が全検査を通過したことを記録する。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-2580,exceptions,Data Validation for Machine Learningが機械学習パイプラインの入口でスキーマや分布の異常を検出するように、RAGでも公開前に知識成果物を検査することを定める運用規則の例外として、この規則より単純な経路が同じ品質・安全性・latency・costのgateを満たす場合は代替できるが、分岐、fallback、artifact provenanceを失う省略は行わない。,比較可能な基準分布がまだない初回公開では分布検査を警告扱いにできるが、schema、型、必須field、件数の検査は省略せず、基準分布を確定する期限とownerを残す。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
SENT-2658,revised_sentence,,RAGのリリースは、検索、生成、引用、安全性、性能、運用の各条件をすべて満たした場合に限り承認します。,外的事実を含む無修正文または文法崩れを、現候補の具体的意味を保つローカル規範と完成した日本語へ修正する。
